,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",4.7758148860011715,0.014093624002271099,0.11173184357541899,0.14388489208633093,0.12578616352201255,18782.0,119.0,159.0,20.0,0.7028728638696367,0.6676606209227016,0.7053019176564117,0.7150113027894526,1.2550133821998315,0.01823542040074244,0.7028728638696367,0.0,0.6676606209227016,0.0,0.7053019176564117,0.0,0.7150113027894526,0.0,0.11173184357541899,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",1.0746222349989694,0.04744014599782531,0.0111731843575419,0.01098901098901099,0.0110803324099723,18721.0,180.0,177.0,2.0,0.648012475471281,0.47936804564603247,0.5082556980372486,0.5779076231934156,0.4363632405991666,0.03560917579961824,0.648012475471281,0.0,0.47936804564603247,0.0,0.5082556980372486,0.0,0.5779076231934156,0.0,0.0111731843575419,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': True}",0.4431667409990041,0.01641391399971326,0.05027932960893855,0.05232558139534884,0.05128205128205128,18738.0,163.0,170.0,9.0,0.5350365725085043,0.5129513249569391,0.5411704250635276,0.5634223658359512,0.9429303077995428,0.03508536420049495,0.5350365725085043,0.0,0.5129513249569391,0.0,0.5411704250635276,0.0,0.5634223658359512,0.0,0.05027932960893855,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}",1.128197778998583,0.05877320899890037,0.0111731843575419,0.01098901098901099,0.0110803324099723,18721.0,180.0,177.0,2.0,0.57661044211843,0.47936804564603247,0.5047736264520051,0.543646477786201,1.0939187964002486,0.051382105999800844,0.57661044211843,0.0,0.47936804564603247,0.0,0.5047736264520051,0.0,0.543646477786201,0.0,0.0111731843575419,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",0.2589615300021251,0.014980527997977333,0.11173184357541899,0.14388489208633093,0.12578616352201255,18782.0,119.0,159.0,20.0,0.7028728638696367,0.6676606209227016,0.7053019176564117,0.7150113027894526,0.42231947160034905,0.037588514198432676,0.7028728638696367,0.0,0.6676606209227016,0.0,0.7053019176564117,0.0,0.7150113027894526,0.0,0.11173184357541899,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",0.22816184099792736,0.01693782599977567,0.0111731843575419,0.01098901098901099,0.0110803324099723,18721.0,180.0,177.0,2.0,0.648012475471281,0.47936804564603247,0.5082556980372486,0.5779076231934156,0.41373708579922097,0.02490213019991643,0.648012475471281,0.0,0.47936804564603247,0.0,0.5082556980372486,0.0,0.5779076231934156,0.0,0.0111731843575419,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': True}",0.36565919699933147,0.023617670998646645,0.12849162011173185,0.13218390804597702,0.13031161473087818,18750.0,151.0,156.0,23.0,0.7108858004320661,0.6223563932473419,0.6469737066094922,0.6799106521728031,0.6460482611997577,0.03404087939925375,0.7108858004320661,0.0,0.6223563932473419,0.0,0.6469737066094922,0.0,0.6799106521728031,0.0,0.12849162011173185,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': False}",0.5873126929982391,0.020045475001097657,0.0111731843575419,0.01098901098901099,0.0110803324099723,18721.0,180.0,177.0,2.0,0.6576749951747994,0.47936804564603247,0.5082556980372486,0.5779934160945807,0.5514876513989293,0.015511698999762302,0.6576749951747994,0.0,0.47936804564603247,0.0,0.5082556980372486,0.0,0.5779934160945807,0.0,0.0111731843575419,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': True}",0.17926745299700997,0.014369472999533173,0.11173184357541899,0.14388489208633093,0.12578616352201255,18782.0,119.0,159.0,20.0,0.7028728638696367,0.6676606209227016,0.7053019176564117,0.7150113027894526,0.41528492319921495,0.025852354200469562,0.7028728638696367,0.0,0.6676606209227016,0.0,0.7053019176564117,0.0,0.7150113027894526,0.0,0.11173184357541899,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': False}",0.21169175500108395,0.014370388998941053,0.0111731843575419,0.01098901098901099,0.0110803324099723,18721.0,180.0,177.0,2.0,0.648012475471281,0.47936804564603247,0.5082556980372486,0.5779076231934156,0.46400099540041995,0.036098576200311074,0.648012475471281,0.0,0.47936804564603247,0.0,0.5082556980372486,0.0,0.5779076231934156,0.0,0.0111731843575419,0.0
