,"{'alpha': 0.9, 'beta': 2, 'n_clusters': 4, 'use_weights': True}"
best_classifier_training_time,1.5209658429994306
best_classifier_inference_time,0.09050318099980359
best_classifier_recall,0.010526315789473684
best_classifier_precision,0.0053285968028419185
best_classifier_f1,0.007075471698113208
best_classifier_TN,131655
best_classifier_FP,560
best_classifier_FN,282
best_classifier_TP,3
best_classifier_auc,0.898742240011783
best_classifier_p_auc_10,0.7635842373056365
best_classifier_p_auc_20,0.7928889198222746
best_classifier_p_auc_30,0.8115491308527258
training_time_avg,1.1871706153986452
inference_time_avg,0.06381115380063421
auc_avg,0.886809639535817
auc_std,0.02225855099828895
p_auc_10_avg,0.7161447796095264
p_auc_10_std,0.08751736119683234
p_auc_20_avg,0.7642303635405385
p_auc_20_std,0.052856028383485465
p_auc_30_avg,0.7909859739449685
p_auc_30_std,0.03797715667967676
recall_avg,0.016140350877192986
recall_std,0.011228070175438597
