,"{'hidden_activation': 'relu', 'hidden_neurons': [64, 32], 'use_ae': False}"
best_classifier_training_time,58.95338930999969
best_classifier_inference_time,7.029378890000771
best_classifier_recall,0.05230125523012552
best_classifier_precision,0.016644474034620507
best_classifier_f1,0.025252525252525252
best_classifier_TN,263045
best_classifier_FP,1477
best_classifier_FN,453
best_classifier_TP,25
best_classifier_auc,0.832936169477753
best_classifier_p_auc_10,0.6493303976788838
best_classifier_p_auc_20,0.7205480772727162
best_classifier_p_auc_30,0.7678194898717086
training_time_avg,45.980527612799776
inference_time_avg,8.286592396599918
auc_avg,0.7901822523228843
auc_std,0.055645548272703675
p_auc_10_avg,0.5986198476457828
p_auc_10_std,0.02535623754251492
p_auc_20_avg,0.7055366985676117
p_auc_20_std,0.007523115999160416
p_auc_30_avg,0.7575768005907271
p_auc_30_std,0.009888485383428906
recall_avg,0.01715481171548117
recall_std,0.017573221757322174
