,{}
best_classifier_training_time,0.01731207299962989
best_classifier_inference_time,0.01791467699877103
best_classifier_recall,0.0111731843575419
best_classifier_precision,0.01098901098901099
best_classifier_f1,0.0110803324099723
best_classifier_TN,18721
best_classifier_FP,180
best_classifier_FN,177
best_classifier_TP,2
best_classifier_auc,0.6312266886650495
best_classifier_p_auc_10,0.47936804564603247
best_classifier_p_auc_20,0.5082556980372486
best_classifier_p_auc_30,0.5716780824107004
training_time_avg,0.01731207299962989
inference_time_avg,0.01791467699877103
auc_avg,0.6312266886650495
auc_std,0.0
p_auc_10_avg,0.47936804564603247
p_auc_10_std,0.0
p_auc_20_avg,0.5082556980372486
p_auc_20_std,0.0
p_auc_30_avg,0.5716780824107004
p_auc_30_std,0.0
recall_avg,0.0111731843575419
recall_std,0.0
