,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",0.09937305600033142,0.04206390800027293,0.0035087719298245615,0.008771929824561403,0.005012531328320802,132102.0,113.0,284.0,1.0,0.9011510757000658,0.7823028365678144,0.8184228401469873,0.8301520633683623,0.10127854959991964,0.0415241082000648,0.8412950012970632,0.07580474823935786,0.6402523756266548,0.09363709331163583,0.708391618341313,0.06995544130272019,0.7593805050838105,0.04643925434201042,0.00982456140350877,0.005156820511122481
"{'max_samples': 128, 'n_estimators': 10}",0.6292787980000867,0.256016811000336,0.014035087719298246,0.005018820577164366,0.0073937153419593345,131422.0,793.0,281.0,4.0,0.9021252730965181,0.7962409273062832,0.8248755883763321,0.8323530236954384,0.6187033820000579,0.25497981980006446,0.9060230737946103,0.00947516670519744,0.7646948028417805,0.023217764865123048,0.8096696519722275,0.009092519749907657,0.8318556996991925,0.009469292367378661,0.016842105263157898,0.007492686492653553
"{'max_samples': 128, 'n_estimators': 50}",2.522951689000365,1.17174868300026,0.014035087719298246,0.005018820577164366,0.0073937153419593345,131422.0,793.0,281.0,4.0,0.9204960155939521,0.7965808979234077,0.8251447086193882,0.8485647569965656,2.5611482264001095,1.1795272085999386,0.9117149592204615,0.009701814503062215,0.7874964123047045,0.00993662285824323,0.8203412888832293,0.005261314511130009,0.8389705855983671,0.009866213477482667,0.07017543859649122,0.11053466969264797
"{'max_samples': 128, 'n_estimators': 100}",5.010314037999706,2.3108437860000777,0.021052631578947368,0.007263922518159807,0.010801080108010803,131395.0,820.0,279.0,6.0,0.902613287368859,0.7971835985038893,0.8253731092861798,0.8327165031089525,5.085959713799639,2.334932933800155,0.9169559336832419,0.007172842977243692,0.7957668086584191,0.0007851640100778788,0.8247326947470116,0.0003657044029322462,0.8453724315709567,0.006332366621653032,0.015438596491228071,0.002807017543859649
"{'max_samples': 256, 'n_estimators': 1}",0.0994744459994763,0.03944065199993929,0.2736842105263158,0.1326530612244898,0.17869415807560138,131705.0,510.0,207.0,78.0,0.9284758676557521,0.7818058967389538,0.8448899869880848,0.8726072507666055,0.10017513200000394,0.04220579200009524,0.9076067702061568,0.016588471376903915,0.6907968273379332,0.057750195680444434,0.7764826922515237,0.04377660886839324,0.8241122631958483,0.034809927972070415,0.061754385964912284,0.10606942678961155
"{'max_samples': 256, 'n_estimators': 10}",0.6295529469998655,0.26052871699994284,0.042105263157894736,0.009615384615384616,0.01565557729941292,130979.0,1236.0,273.0,12.0,0.9182134229799814,0.7846348749621421,0.8188041735805807,0.8440890852044662,0.636213520599813,0.26104628299963223,0.915171243542051,0.010572362042882503,0.7762846539839252,0.007958235892267839,0.8158001074011793,0.007224292918335803,0.8420196282569659,0.01449152515388566,0.026666666666666672,0.011006587467619735
"{'max_samples': 256, 'n_estimators': 50}",2.740883444999781,1.2137071759998435,0.021052631578947368,0.007263922518159807,0.010801080108010803,131395.0,820.0,279.0,6.0,0.9197716770464905,0.7929344561160365,0.8231326570986615,0.8471444853348762,2.730938693599819,1.2067130917999749,0.9155808952855231,0.0078233368304805,0.7901926380263145,0.002696334349287143,0.8216675824900086,0.001465790889464569,0.8428891322795906,0.007420690821354789,0.023859649122807018,0.009774307562936225
"{'max_samples': 256, 'n_estimators': 100}",5.325852277999729,2.3750336889997925,0.014035087719298246,0.004932182490752158,0.007299270072992701,131408.0,807.0,281.0,4.0,0.9202850752794325,0.7956365520788888,0.8245587633012781,0.8481511485367232,5.239522769800169,2.3932001881999896,0.9158171956761016,0.007891460066959802,0.791421295466362,0.0033829345986110767,0.822323972463838,0.001822040606238246,0.8433524663787644,0.007565334764962102,0.022456140350877195,0.01054968166903362
"{'max_samples': 512, 'n_estimators': 1}",0.09233646999928169,0.039132568999775685,0.0035087719298245615,0.013333333333333334,0.005555555555555556,132141.0,74.0,284.0,1.0,0.8971271407350203,0.7726746786258716,0.8100758258140004,0.8219593528465237,0.09535609419999673,0.04104550720021507,0.9000478354301972,0.012423556527322487,0.7152014396629406,0.046306601506464214,0.7825325255302564,0.020217542416280314,0.8158873841617822,0.016761925344730103,0.013333333333333332,0.010265781640931785
"{'max_samples': 512, 'n_estimators': 10}",0.6372145189998264,0.2619652799994583,0.03508771929824561,0.008110300081103,0.013175230566534914,130992.0,1223.0,275.0,10.0,0.9182414740477863,0.7849559002536339,0.818882093213372,0.8441440872982013,0.6352773755999805,0.26392655780000496,0.9144609252208159,0.014679933793446192,0.780621272325517,0.0030561920608919526,0.8221020258142774,0.010645828980163823,0.8442900464968737,0.020556804254951898,0.028771929824561403,0.007492686492653551
