,"{'max_samples': 128, 'n_estimators': 100}"
best_classifier_training_time,17.385651091999534
best_classifier_inference_time,8.359786986000472
best_classifier_recall,0.029574861367837338
best_classifier_precision,0.003205128205128205
best_classifier_f1,0.0057834809325862995
best_classifier_TN,524218
best_classifier_FP,4976
best_classifier_FN,525
best_classifier_TP,16
best_classifier_auc,0.9311237498225339
best_classifier_p_auc_10,0.6882028795371782
best_classifier_p_auc_20,0.8086770828403718
best_classifier_p_auc_30,0.8649485290637918
training_time_avg,17.793531796199932
inference_time_avg,8.424620446800327
auc_avg,0.9303006370857556
auc_std,0.0007176559886287612
p_auc_10_avg,0.6838746552225079
p_auc_10_std,0.0037741182015708103
p_auc_20_avg,0.8063906585715432
p_auc_20_std,0.001993488857302156
p_auc_30_avg,0.8633345825210894
p_auc_30_std,0.0014071686051544648
recall_avg,0.029574861367837334
recall_std,3.469446951953614e-18
