,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",0.05734818600103608,0.03285170500021195,0.0111731843575419,0.015151515151515152,0.012861736334405145,18771.0,130.0,177.0,2.0,0.46443790181063993,0.48098516085604326,0.4610808738569677,0.4506405087210464,0.05734818600103608,0.03285170500021195,0.46443790181063993,0.0,0.48098516085604326,0.0,0.4610808738569677,0.0,0.4506405087210464,0.0,0.0111731843575419,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",0.10044908700001542,0.057444924999799696,0.0111731843575419,0.015151515151515152,0.012861736334405145,18771.0,130.0,177.0,2.0,0.46443790181063993,0.48098516085604326,0.4610808738569677,0.4506405087210464,0.10044908700001542,0.057444924999799696,0.46443790181063993,0.0,0.48098516085604326,0.0,0.4610808738569677,0.0,0.4506405087210464,0.0,0.0111731843575419,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",0.14426425799865683,0.08988436900108354,0.0111731843575419,0.015151515151515152,0.012861736334405145,18771.0,130.0,177.0,2.0,0.46443790181063993,0.48098516085604326,0.4610808738569677,0.4506405087210464,0.14426425799865683,0.08988436900108354,0.46443790181063993,0.0,0.48098516085604326,0.0,0.4610808738569677,0.0,0.4506405087210464,0.0,0.0111731843575419,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",0.19640739100032079,0.11049093299880042,0.0111731843575419,0.015151515151515152,0.012861736334405145,18771.0,130.0,177.0,2.0,0.46443790181063993,0.48098516085604326,0.4610808738569677,0.4506405087210464,0.19640739100032079,0.11049093299880042,0.46443790181063993,0.0,0.48098516085604326,0.0,0.4610808738569677,0.0,0.4506405087210464,0.0,0.0111731843575419,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",0.054166824998901575,0.03108132600027602,0.00558659217877095,0.02857142857142857,0.009345794392523366,18867.0,34.0,178.0,1.0,0.6993347282325815,0.481648234893644,0.4901483360012144,0.555888844111519,0.054166824998901575,0.03108132600027602,0.6993347282325815,0.0,0.481648234893644,0.0,0.4901483360012144,0.0,0.555888844111519,0.0,0.00558659217877095,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",0.09896192599990172,0.058223676000125124,0.00558659217877095,0.02857142857142857,0.009345794392523366,18867.0,34.0,178.0,1.0,0.6993347282325815,0.481648234893644,0.4901483360012144,0.555888844111519,0.09896192599990172,0.058223676000125124,0.6993347282325815,0.0,0.481648234893644,0.0,0.4901483360012144,0.0,0.555888844111519,0.0,0.00558659217877095,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",0.14745375500024238,0.09215171100004227,0.00558659217877095,0.02857142857142857,0.009345794392523366,18867.0,34.0,178.0,1.0,0.6955951607892816,0.481648234893644,0.48434112888582376,0.5485563589285781,0.14745375500024238,0.09215171100004227,0.6955951607892816,0.0,0.481648234893644,0.0,0.48434112888582376,0.0,0.5485563589285781,0.0,0.00558659217877095,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",0.21083855299912102,0.11396391200105427,0.00558659217877095,0.02857142857142857,0.009345794392523366,18867.0,34.0,178.0,1.0,0.6955951607892816,0.481648234893644,0.48434112888582376,0.5485563589285781,0.21083855299912102,0.11396391200105427,0.6955951607892816,0.0,0.481648234893644,0.0,0.48434112888582376,0.0,0.5485563589285781,0.0,0.00558659217877095,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",0.05679045800025051,0.031030127000121865,0.00558659217877095,0.016129032258064516,0.008298755186721992,18840.0,61.0,178.0,1.0,0.7013582090037505,0.4803581763832829,0.5037867655144412,0.5526059205237381,0.05679045800025051,0.031030127000121865,0.7013582090037505,0.0,0.4803581763832829,0.0,0.5037867655144412,0.0,0.5526059205237381,0.0,0.00558659217877095,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",0.1024019460001,0.05856720399970072,0.00558659217877095,0.016129032258064516,0.008298755186721992,18840.0,61.0,178.0,1.0,0.7006902179808405,0.4803581763832829,0.5019312348952467,0.5512961342043067,0.1024019460001,0.05856720399970072,0.7006902179808405,0.0,0.4803581763832829,0.0,0.5019312348952467,0.0,0.5512961342043067,0.0,0.00558659217877095,0.0
"{'n_bins': 10, 'n_random_cuts': 75}",0.14808622599957744,0.11136059199998272,0.00558659217877095,0.016129032258064516,0.008298755186721992,18840.0,61.0,178.0,1.0,0.7030317334160144,0.4803581763832829,0.5084354444373966,0.555887340939942,0.14808622599957744,0.11136059199998272,0.7030317334160144,0.0,0.4803581763832829,0.0,0.5084354444373966,0.0,0.555887340939942,0.0,0.00558659217877095,0.0
