,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",0.02188914799990016,0.007913069000096584,0.031578947368421054,0.007679180887372013,0.012354152367879203,131052.0,1163.0,276.0,9.0,0.18999231050435528,0.4942779236748505,0.46798391390831534,0.4373247304230695,0.021809365599801823,0.007906008400004794,0.18999231050435528,0.0,0.4942779236748505,0.0,0.46798391390831534,0.0,0.4373247304230695,0.0,0.031578947368421054,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",0.021414456000002247,0.007690241000091191,0.031578947368421054,0.007679180887372013,0.012354152367879203,131052.0,1163.0,276.0,9.0,0.18999231050435528,0.4942779236748505,0.46798391390831534,0.4373247304230695,0.02120982139986154,0.007919555599983141,0.18999231050435528,0.0,0.4942779236748505,0.0,0.46798391390831534,0.0,0.4373247304230695,0.0,0.031578947368421054,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",0.021689489999971556,0.008064307000040571,0.031578947368421054,0.007679180887372013,0.012354152367879203,131052.0,1163.0,276.0,9.0,0.18999231050435528,0.4942779236748505,0.46798391390831534,0.4373247304230695,0.021357065399934073,0.008096904199828715,0.18999231050435528,0.0,0.4942779236748505,0.0,0.46798391390831534,0.0,0.4373247304230695,0.0,0.031578947368421054,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': False}",0.02132612000013978,0.008414572999754455,0.031578947368421054,0.007679180887372013,0.012354152367879203,131052.0,1163.0,276.0,9.0,0.18999231050435528,0.4942779236748505,0.46798391390831534,0.4373247304230695,0.021618958199996995,0.008022790599989093,0.18999231050435528,0.0,0.4942779236748505,0.0,0.46798391390831534,0.0,0.4373247304230695,0.0,0.031578947368421054,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}",0.058212651000303595,0.010819355999956315,0.031578947368421054,0.007679180887372013,0.012354152367879203,131052.0,1163.0,276.0,9.0,0.18999231050435528,0.4942779236748505,0.46798391390831534,0.4373247304230695,0.06351069880001887,0.013372268000148324,0.18999231050435528,0.0,0.4942779236748505,0.0,0.46798391390831534,0.0,0.4373247304230695,0.0,0.031578947368421054,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': False}",0.07041124799980025,0.0155658379999295,0.031578947368421054,0.007679180887372013,0.012354152367879203,131052.0,1163.0,276.0,9.0,0.18999231050435528,0.4942779236748505,0.46798391390831534,0.4373247304230695,0.062067120399842676,0.011677191000035236,0.18999231050435528,0.0,0.4942779236748505,0.0,0.46798391390831534,0.0,0.4373247304230695,0.0,0.031578947368421054,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': False, 'whiten': True}",0.05990100799999709,0.011706368000432121,0.031578947368421054,0.007679180887372013,0.012354152367879203,131052.0,1163.0,276.0,9.0,0.18999231050435528,0.4942779236748505,0.46798391390831534,0.4373247304230695,0.06258840640002745,0.01125747020005292,0.18999231050435528,0.0,0.4942779236748505,0.0,0.46798391390831534,0.0,0.4373247304230695,0.0,0.031578947368421054,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': False, 'whiten': False}",0.057023622000087926,0.010704526000154146,0.031578947368421054,0.007679180887372013,0.012354152367879203,131052.0,1163.0,276.0,9.0,0.18999231050435528,0.4942779236748505,0.46798391390831534,0.4373247304230695,0.0707701360000101,0.019313728399993124,0.18999231050435528,0.0,0.4942779236748505,0.0,0.46798391390831534,0.0,0.4373247304230695,0.0,0.031578947368421054,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",0.01890755900012664,0.006893585999932839,0.031578947368421054,0.007679180887372013,0.012354152367879203,131052.0,1163.0,276.0,9.0,0.7279960404736836,0.5062207571868895,0.6641613496889398,0.7149371790408632,0.019942232800076454,0.007239366199974029,0.7279960404736836,0.0,0.5062207571868895,0.0,0.6641613496889398,0.0,0.7149371790408632,0.0,0.031578947368421054,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",0.01976545499974236,0.007229306000226643,0.031578947368421054,0.007679180887372013,0.012354152367879203,131052.0,1163.0,276.0,9.0,0.7279960404736836,0.5062207571868895,0.6641613496889398,0.7149371790408632,0.01920046139994156,0.0073024298000746056,0.7279960404736836,0.0,0.5062207571868895,0.0,0.6641613496889398,0.0,0.7149371790408632,0.0,0.031578947368421054,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",0.018914738000148645,0.007066027999826474,0.031578947368421054,0.007679180887372013,0.012354152367879203,131052.0,1163.0,276.0,9.0,0.7279960404736836,0.5062207571868895,0.6641613496889398,0.7149371790408632,0.01878260940002292,0.007072935799897095,0.7279960404736836,0.0,0.5062207571868895,0.0,0.6641613496889398,0.0,0.7149371790408632,0.0,0.031578947368421054,0.0
