,"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,0.034033567999813386
best_classifier_inference_time,0.014980420000028971
best_classifier_recall,0.008368200836820083
best_classifier_precision,0.0021482277121374865
best_classifier_f1,0.003418803418803419
best_classifier_TN,262664
best_classifier_FP,1858
best_classifier_FN,474
best_classifier_TP,4
best_classifier_auc,0.6672361710690025
best_classifier_p_auc_10,0.5859487179055733
best_classifier_p_auc_20,0.673153397453082
best_classifier_p_auc_30,0.6975254883358789
training_time_avg,0.033844768199924144
inference_time_avg,0.015832335600043733
auc_avg,0.6672361710690025
auc_std,0.0
p_auc_10_avg,0.5859487179055733
p_auc_10_std,0.0
p_auc_20_avg,0.673153397453082
p_auc_20_std,0.0
p_auc_30_avg,0.6975254883358789
p_auc_30_std,0.0
recall_avg,0.008368200836820083
recall_std,0.0
