,"{'hidden_activation': 'relu', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,160.01547284400294
best_classifier_inference_time,8.525405536999187
best_classifier_recall,0.19793205317577547
best_classifier_precision,0.008479939248196431
best_classifier_f1,0.016263122762303538
best_classifier_TN,3145455
best_classifier_FP,31336
best_classifier_FN,1086
best_classifier_TP,268
best_classifier_auc,0.9686897043243949
best_classifier_p_auc_10,0.8352089701283942
best_classifier_p_auc_20,0.9130269564566527
best_classifier_p_auc_30,0.9386072633811664
training_time_avg,161.15657475880053
inference_time_avg,9.05209473659961
auc_avg,0.9682689038375486
auc_std,0.00031341034005704364
p_auc_10_avg,0.8329942307239395
p_auc_10_std,0.0016495281055634052
p_auc_20_avg,0.9118580662154127
p_auc_20_std,0.0008705842779362612
p_auc_30_avg,0.9377821643873501
p_auc_30_std,0.0006145300785431827
recall_avg,0.15612998522895127
recall_std,0.030646277656527516
