,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",0.7987516480002341,0.16123929699938344,0.07368421052631578,0.011731843575418994,0.020240963855421686,130446.0,1769.0,264.0,21.0,0.8660271845896934,0.5791473173187861,0.674359960955778,0.7432618044633679,0.7907008291999318,0.16355039219984063,0.8660271845896934,0.0,0.5791473173187861,0.0,0.674359960955778,0.0,0.7432618044633679,0.0,0.07368421052631578,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",0.803515563999099,0.16769583600057558,0.17192982456140352,0.03798449612403101,0.06222222222222222,130974.0,1241.0,236.0,49.0,0.9023458601122176,0.6719622956662581,0.7542252971358675,0.8110592220734382,0.7830667067999457,0.16150462200007495,0.9023458601122176,0.0,0.6719622956662581,0.0,0.7542252971358675,0.0,0.8110592220734383,1.1102230246251565e-16,0.17192982456140352,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': True}",1.0057499409999764,0.16581422399985968,0.010526315789473684,0.0017595307917888563,0.0030150753768844215,130513.0,1702.0,282.0,3.0,0.8332646520055386,0.6027318132955074,0.6363795191820518,0.6889581384502348,1.022238958400203,0.1673618856000303,0.8315307987853384,0.002882859587171328,0.5969666521220036,0.008791228330997557,0.6321083850635996,0.008075895903032742,0.6858691612219558,0.0057439226611814545,0.010526315789473684,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}",1.0258289330004118,0.1698411230001966,0.11578947368421053,0.0149118843199277,0.02642113690952762,130035.0,2180.0,252.0,33.0,0.8838917871011529,0.6757029501844225,0.7531376289977214,0.7925379304676488,1.0303835587997128,0.16689839400000892,0.8836257451479547,0.001339091658093549,0.6742593758477801,0.0007406905141665465,0.7542087434614211,0.0006198501512661148,0.7929823754844897,0.0008802683414235075,0.11578947368421053,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",0.7925319000003128,0.16161625099994126,0.07368421052631578,0.011731843575418994,0.020240963855421686,130446.0,1769.0,264.0,21.0,0.8660271845896934,0.5791473173187861,0.674359960955778,0.7432618044633679,0.7900522565998017,0.16388394799992057,0.8660271845896934,0.0,0.5791473173187861,0.0,0.674359960955778,0.0,0.7432618044633679,0.0,0.07368421052631578,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",2.308568794999019,0.22711182199964242,0.17192982456140352,0.03798449612403101,0.06222222222222222,130974.0,1241.0,236.0,49.0,0.9023458601122176,0.6719622956662581,0.7542252971358675,0.8110592220734382,1.089258479199907,0.17363858060048187,0.9023458601122176,0.0,0.6719622956662581,0.0,0.7542252971358675,0.0,0.8110592220734383,1.1102230246251565e-16,0.17192982456140352,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': True}",1.0170963119999215,0.1640014219999557,0.010526315789473684,0.0017595307917888563,0.0030150753768844215,130513.0,1702.0,282.0,3.0,0.8269739147627038,0.6027318132955074,0.633135533940045,0.6807088390927407,1.0180056113999398,0.171754675000102,0.8251397305425574,0.0031321402706604405,0.5969666521220036,0.008791228330997557,0.6281271865895105,0.008909544069894824,0.6772135452497383,0.006213517198767385,0.010526315789473684,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': False}",1.0560870939998495,0.16205004000062218,0.10877192982456141,0.013680494263018535,0.02430419443355547,129980.0,2235.0,254.0,31.0,0.8781978184124609,0.6711398852333783,0.7471653139833159,0.7850664918463883,1.0260934391998036,0.16470880280057826,0.8773745713222285,0.0011604092564656548,0.6693678477537827,0.0008894821585405888,0.7464610443486557,0.0004186501797378266,0.7842078852614661,0.0007720119372338132,0.10596491228070175,0.0014035087719298288
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': True}",0.7795178520000263,0.1607408900001701,0.07368421052631578,0.011731843575418994,0.020240963855421686,130446.0,1769.0,264.0,21.0,0.8660271845896934,0.5791473173187861,0.674359960955778,0.7432618044633679,0.7915115622002759,0.16249766639962218,0.8660271845896934,0.0,0.5791473173187861,0.0,0.674359960955778,0.0,0.7432618044633679,0.0,0.07368421052631578,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': False}",0.7872388620003221,0.1682879700003923,0.17192982456140352,0.03798449612403101,0.06222222222222222,130974.0,1241.0,236.0,49.0,0.9023458601122176,0.6719622956662581,0.7542252971358675,0.8110592220734382,0.7891011499999877,0.16549203100003068,0.9023458601122176,0.0,0.6719622956662581,0.0,0.7542252971358675,0.0,0.8110592220734383,1.1102230246251565e-16,0.17192982456140352,0.0
