,"{'hidden_activation': 'tanh', 'hidden_neurons': [64, 32], 'use_ae': False}"
best_classifier_training_time,120.47302272000707
best_classifier_inference_time,5.464550615002736
best_classifier_recall,0.1192468619246862
best_classifier_precision,0.02159090909090909
best_classifier_f1,0.03656189865298268
best_classifier_TN,261939
best_classifier_FP,2583
best_classifier_FN,421
best_classifier_TP,57
best_classifier_auc,0.8904854438790499
best_classifier_p_auc_10,0.6484009255314528
best_classifier_p_auc_20,0.7274710310668615
best_classifier_p_auc_30,0.7862211270150996
training_time_avg,118.95947111439855
inference_time_avg,5.206832214599854
auc_avg,0.8764968643685037
auc_std,0.013916367405491143
p_auc_10_avg,0.6319204229624805
p_auc_10_std,0.018602328341446938
p_auc_20_avg,0.7010841781605446
p_auc_20_std,0.023933839885454194
p_auc_30_avg,0.7593352185892581
p_auc_30_std,0.026981425878116985
recall_avg,0.12468619246861926
recall_std,0.014590456714780495
