,{}
best_classifier_training_time,0.43265297299512895
best_classifier_inference_time,0.19234834200688056
best_classifier_recall,0.12290502793296089
best_classifier_precision,0.11578947368421053
best_classifier_f1,0.1192411924119241
best_classifier_TN,18733
best_classifier_FP,168
best_classifier_FN,157
best_classifier_TP,22
best_classifier_auc,0.7242615817377165
best_classifier_p_auc_10,0.584579120775406
best_classifier_p_auc_20,0.5900471932045148
best_classifier_p_auc_30,0.6155821777931885
training_time_avg,0.43265297299512895
inference_time_avg,0.19234834200688056
auc_avg,0.7242615817377165
auc_std,0.0
p_auc_10_avg,0.584579120775406
p_auc_10_std,0.0
p_auc_20_avg,0.5900471932045148
p_auc_20_std,0.0
p_auc_30_avg,0.6155821777931885
p_auc_30_std,0.0
recall_avg,0.12290502793296089
recall_std,0.0
