,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",0.5994525230009913,0.1855915019996246,0.08076923076923077,0.22826086956521738,0.11931818181818181,65919.0,71.0,239.0,21.0,0.43724506626878196,0.5225168804960789,0.5029909906652532,0.4811261079722278,0.5676196918000187,0.18226361480024025,0.4306369787963211,0.02485677797191523,0.5041269183788339,0.010497871350671087,0.48575779979134703,0.010784138881883596,0.46517046262937456,0.011366626824577161,0.04230769230769231,0.020783470901701996
"{'max_samples': 128, 'n_estimators': 10}",4.601908329999105,0.42931329599969104,0.1423076923076923,0.15879828326180256,0.15010141987829614,65794.0,196.0,223.0,37.0,0.49432032242647495,0.5506111546403403,0.5290974945654069,0.504787210345086,4.658170264800129,0.439857667400247,0.4716713021786518,0.01240292953774239,0.5357472218765063,0.007462375477054964,0.5122377257398941,0.008459117691189892,0.485783689389518,0.009546595921674575,0.11538461538461538,0.013543705278199232
"{'max_samples': 128, 'n_estimators': 50}",8.456453839999085,1.5560026330003893,0.13076923076923078,0.136,0.13333333333333336,65774.0,216.0,226.0,34.0,0.4859695524962989,0.5429665609922975,0.5190730868033641,0.49214792767599586,8.05032985080029,1.5218808996001372,0.4779554303099537,0.004713730598917276,0.5361592838615417,0.003972248382450178,0.5117057149933123,0.004358782931510112,0.4842140956339428,0.004767461728093337,0.1176923076923077,0.007536891516255933
"{'max_samples': 128, 'n_estimators': 100}",14.092954068001063,2.8227605830008997,0.13076923076923078,0.1650485436893204,0.1459227467811159,65818.0,172.0,226.0,34.0,0.48218873488990166,0.5427590921204487,0.5186196970682101,0.4914166641577728,14.45574653600006,2.9134428652000226,0.4786947672724306,0.005887179022602399,0.5372815792816341,0.004540885056934622,0.5128028761785126,0.004710452229802501,0.4852786781473026,0.004851468807893574,0.12000000000000002,0.009230769230769232
"{'max_samples': 256, 'n_estimators': 1}",0.5387977289999526,0.1704076599992277,0.08076923076923077,0.10344827586206896,0.09071274298056156,65808.0,182.0,239.0,21.0,0.47171485772902655,0.5222828704089295,0.5031457781029007,0.4816212031308119,0.6059255833999032,0.19307559099988794,0.4381203445743528,0.032592394339456536,0.5116489595251894,0.007049701615857284,0.4904408450330912,0.00919531359216955,0.46659701230268313,0.011767271079506161,0.06307692307692307,0.01104053853415948
"{'max_samples': 256, 'n_estimators': 10}",4.651892197000507,0.4285042289991452,0.1423076923076923,0.1608695652173913,0.15102040816326529,65797.0,193.0,223.0,37.0,0.49603934745357686,0.5486921510606053,0.5249563323022571,0.49815367340081423,4.642303474599885,0.4239582461997543,0.48519838087355893,0.009432077305543208,0.546086946833716,0.001979155495248154,0.5227714206607754,0.0023018830604289563,0.4964766420954618,0.0028764106067801446,0.13615384615384615,0.003922322702763679
"{'max_samples': 256, 'n_estimators': 50}",8.203753555000048,1.4684241390002626,0.1576923076923077,0.1673469387755102,0.16237623762376235,65786.0,204.0,219.0,41.0,0.5035058925011948,0.5568696748431508,0.5338918619852772,0.5078890724478823,8.056871849999926,1.5039636574002544,0.497884364763892,0.006155299664122523,0.5541198285764825,0.0036046335726231046,0.5309447666492173,0.0038830355236110893,0.5047529425245711,0.004138998248886457,0.1523076923076923,0.007133552688842845
"{'max_samples': 256, 'n_estimators': 100}",13.845648252999126,2.7805085850004616,0.1576923076923077,0.17982456140350878,0.16803278688524592,65803.0,187.0,219.0,41.0,0.5004581987946891,0.556939434517917,0.5339317903915197,0.5079194811739305,14.534175851600002,2.895364326400022,0.49681776959212937,0.0023737621248440385,0.5547637338022811,0.0029824547241194825,0.5314344683715055,0.0031659587552260947,0.5050705655331897,0.003348942323244929,0.15384615384615385,0.00595843591724218
"{'max_samples': 512, 'n_estimators': 1}",0.5346113189998505,0.17574657599948296,0.09615384615384616,0.0984251968503937,0.09727626459143969,65761.0,229.0,235.0,25.0,0.4633195880494714,0.5274005416094716,0.5057550370415079,0.48132013762331816,0.5331809928003622,0.17242662320009003,0.4518477683098839,0.021142501707590296,0.5187065513461413,0.007860017238416572,0.4963319229056701,0.008462146450756255,0.4710883655919327,0.00927854972567759,0.08,0.015268794800984007
"{'max_samples': 512, 'n_estimators': 10}",4.654380795999032,0.4487579220003681,0.18076923076923077,0.14826498422712933,0.1629116117850953,65720.0,270.0,213.0,47.0,0.5133719852658328,0.5680197484126843,0.5454884495755192,0.5197746197953077,4.6695726781999385,0.44973578399954023,0.5019365463298635,0.013164633839357258,0.5554111233094468,0.010059537947098345,0.5330949419572697,0.010244528410323575,0.507715089598503,0.01040938008872453,0.1546153846153846,0.020264522880491524
