,"{'max_samples': 512, 'n_estimators': 100}"
best_classifier_training_time,20.895489785995778
best_classifier_inference_time,5.498718664003718
best_classifier_recall,0.0794979079497908
best_classifier_precision,0.054519368723098996
best_classifier_f1,0.06468085106382979
best_classifier_TN,263863
best_classifier_FP,659
best_classifier_FN,440
best_classifier_TP,38
best_classifier_auc,0.2685637405676155
best_classifier_p_auc_10,0.5161294762284542
best_classifier_p_auc_20,0.4901945195336077
best_classifier_p_auc_30,0.4611457665263664
training_time_avg,21.304437961000076
inference_time_avg,5.66797871619965
auc_avg,0.2664759785069328
auc_std,0.0013288963960397346
p_auc_10_avg,0.5160811003185242
p_auc_10_std,5.2631013251801706e-05
p_auc_20_avg,0.4901189808328805
p_auc_20_std,0.00012820422460243152
p_auc_30_avg,0.46103292906003046
p_auc_30_std,0.0002103456575639982
recall_avg,0.0794979079497908
recall_std,0.0
