,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",0.4834340359993803,0.14871845899688196,0.061452513966480445,0.07534246575342465,0.06769230769230769,18766.0,135.0,168.0,11.0,0.7229715610211277,0.5322602575557844,0.5593882679582063,0.6018213656737426,0.4834340359993803,0.14871845899688196,0.7229715610211277,0.0,0.5322602575557844,0.0,0.5593882679582063,0.0,0.6018213656737426,0.0,0.061452513966480445,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",0.6849343649973889,0.1919747960037057,0.055865921787709494,0.03215434083601286,0.04081632653061224,18600.0,301.0,169.0,10.0,0.7269419696099553,0.5257169260045284,0.5702707672382654,0.6089688580278505,0.6849343649973889,0.1919747960037057,0.7269419696099553,0.0,0.5257169260045284,0.0,0.5702707672382654,0.0,0.6089688580278505,0.0,0.055865921787709494,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",0.8497452610026812,0.22644311399562866,0.0446927374301676,0.05555555555555555,0.049535603715170275,18765.0,136.0,171.0,8.0,0.7249474548211956,0.5249365138593268,0.5691882149038816,0.609845255758932,0.8497452610026812,0.22644311399562866,0.7249474548211956,0.0,0.5249365138593268,0.0,0.5691882149038816,0.0,0.609845255758932,0.0,0.0446927374301676,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",1.0473312750054902,0.23469097000088368,0.0446927374301676,0.056338028169014086,0.04984423676012461,18767.0,134.0,171.0,8.0,0.7212300552215765,0.5250326762525656,0.5600277466822624,0.6034516439554065,1.0473312750054902,0.23469097000088368,0.7212300552215765,0.0,0.5250326762525656,0.0,0.5600277466822624,0.0,0.6034516439554065,0.0,0.0446927374301676,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",0.5292029730026115,0.17738113999803318,0.0670391061452514,0.06030150753768844,0.06349206349206349,18714.0,187.0,167.0,12.0,0.7457989719440814,0.548986119834136,0.5966231697054915,0.6306452420629716,0.5292029730026115,0.17738113999803318,0.7457989719440814,0.0,0.548986119834136,0.0,0.5966231697054915,0.0,0.6306452420629716,0.0,0.0670391061452514,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",0.7090576190003048,0.2299782230038545,0.07262569832402235,0.06701030927835051,0.06970509383378015,18720.0,181.0,166.0,13.0,0.7543844300159698,0.5501899302612916,0.6010598597850304,0.6441655540263624,0.7090576190003048,0.2299782230038545,0.7543844300159698,0.0,0.5501899302612916,0.0,0.6010598597850304,0.0,0.6441655540263624,0.0,0.07262569832402235,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",0.8936702549981419,0.2741693419884541,0.07262569832402235,0.06701030927835051,0.06970509383378015,18720.0,181.0,166.0,13.0,0.7489281847580409,0.5426521835302691,0.5961371003666349,0.6362349000690124,0.8936702549981419,0.2741693419884541,0.7489281847580409,0.0,0.5426521835302691,0.0,0.5961371003666349,0.0,0.6362349000690124,0.0,0.07262569832402235,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",1.096550666996336,0.3096293280032114,0.07262569832402235,0.06467661691542288,0.06842105263157894,18713.0,188.0,166.0,13.0,0.7596707218056802,0.5470075036673002,0.6141624988052483,0.6573649225977622,1.096550666996336,0.3096293280032114,0.7596707218056802,0.0,0.5470075036673002,0.0,0.6141624988052483,0.0,0.6573649225977622,0.0,0.07262569832402235,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",0.4890621899994585,0.14986124499955622,0.0446927374301676,0.04145077720207254,0.04301075268817204,18716.0,185.0,171.0,8.0,0.7635056109768068,0.579701884038034,0.6402206590444096,0.673213181534199,0.4890621899994585,0.14986124499955622,0.7635056109768068,0.0,0.579701884038034,0.0,0.6402206590444096,0.0,0.673213181534199,0.0,0.0446927374301676,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",0.6785596080044343,0.19479717599642754,0.0446927374301676,0.03940886699507389,0.041884816753926704,18706.0,195.0,171.0,8.0,0.7646873048306098,0.5767273635438295,0.6393296759346974,0.6723838259958379,0.6785596080044343,0.19479717599642754,0.7646873048306098,0.0,0.5767273635438295,0.0,0.6393296759346974,0.0,0.6723838259958379,0.0,0.0446927374301676,0.0
"{'n_bins': 10, 'n_random_cuts': 75}",0.911779544001547,0.2268067270033498,0.05027932960893855,0.046875,0.04851752021563342,18718.0,183.0,170.0,9.0,0.7646160721595824,0.5842985556008644,0.6326763591296016,0.6672930632806626,0.911779544001547,0.2268067270033498,0.7646160721595824,0.0,0.5842985556008644,0.0,0.6326763591296016,0.0,0.6672930632806626,0.0,0.05027932960893855,0.0
"{'n_bins': 10, 'n_random_cuts': 100}",1.0296624099937617,0.2534352110014879,0.055865921787709494,0.05235602094240838,0.05405405405405405,18720.0,181.0,169.0,10.0,0.7683911081527713,0.5809481161852,0.638882971306173,0.6735470543444939,1.0296624099937617,0.2534352110014879,0.7683911081527713,0.0,0.5809481161852,0.0,0.638882971306173,0.0,0.6735470543444939,0.0,0.055865921787709494,0.0
"{'n_bins': 12, 'n_random_cuts': 25}",0.4953949799928523,0.1430948559936951,0.027932960893854747,0.026881720430107527,0.0273972602739726,18720.0,181.0,174.0,5.0,0.7811747124608996,0.6063105720694649,0.6635306392933535,0.6973760731909522,0.4953949799928523,0.1430948559936951,0.7811747124608996,0.0,0.6063105720694649,0.0,0.6635306392933535,0.0,0.6973760731909522,0.0,0.027932960893854747,0.0
"{'n_bins': 12, 'n_random_cuts': 50}",0.6825227770004858,0.18454161200679664,0.00558659217877095,0.005405405405405406,0.005494505494505494,18717.0,184.0,178.0,1.0,0.7661230421729927,0.5932698488811096,0.6424890473375982,0.6787782665579637,0.6825227770004858,0.18454161200679664,0.7661230421729927,0.0,0.5932698488811096,0.0,0.6424890473375982,0.0,0.6787782665579637,0.0,0.00558659217877095,0.0
"{'n_bins': 12, 'n_random_cuts': 75}",0.8822437840008206,0.22271797100438562,0.027932960893854747,0.024630541871921183,0.026178010471204192,18703.0,198.0,174.0,5.0,0.775719058345469,0.6037550055963304,0.653483277115632,0.689042702621437,0.8822437840008206,0.22271797100438562,0.775719058345469,0.0,0.6037550055963304,0.0,0.653483277115632,0.0,0.689042702621437,0.0,0.027932960893854747,0.0
"{'n_bins': 12, 'n_random_cuts': 100}",1.5868357800009107,0.3533042359922547,0.027932960893854747,0.026041666666666668,0.026954177897574122,18714.0,187.0,174.0,5.0,0.7716064799858363,0.5968050365838646,0.6469727996946186,0.681978086127364,1.5868357800009107,0.3533042359922547,0.7716064799858363,0.0,0.5968050365838646,0.0,0.6469727996946186,0.0,0.681978086127364,0.0,0.027932960893854747,0.0
"{'n_bins': 14, 'n_random_cuts': 25}",0.5917744529997435,0.17815212099230848,0.0111731843575419,0.010416666666666666,0.01078167115902965,18711.0,190.0,177.0,2.0,0.7639680321959851,0.5729709488775145,0.6380399179481075,0.669058377047325,0.5917744529997435,0.17815212099230848,0.7639680321959851,0.0,0.5729709488775145,0.0,0.6380399179481075,0.0,0.669058377047325,0.0,0.0111731843575419,0.0
"{'n_bins': 14, 'n_random_cuts': 50}",0.6885405059929326,0.18758381100087718,0.0335195530726257,0.03260869565217391,0.03305785123966942,18723.0,178.0,173.0,6.0,0.7628232847483167,0.5782949648924359,0.6442890330816807,0.6737059407476321,0.6885405059929326,0.18758381100087718,0.7628232847483167,0.0,0.5782949648924359,0.0,0.6442890330816807,0.0,0.6737059407476321,0.0,0.0335195530726257,0.0
"{'n_bins': 14, 'n_random_cuts': 75}",0.9219992319976882,0.23513845500565367,0.0111731843575419,0.010638297872340425,0.010899182561307902,18715.0,186.0,177.0,2.0,0.7746357897176083,0.5829147435154818,0.6513705096938995,0.6873913379696359,0.9219992319976882,0.23513845500565367,0.7746357897176083,0.0,0.5829147435154818,0.0,0.6513705096938995,0.0,0.6873913379696359,0.0,0.0111731843575419,0.0
"{'n_bins': 14, 'n_random_cuts': 100}",1.0785028990067076,0.25296966100540885,0.0223463687150838,0.02072538860103627,0.02150537634408602,18712.0,189.0,175.0,4.0,0.7694789581349928,0.5780633303714502,0.6493518401658405,0.6784800626060125,1.0785028990067076,0.25296966100540885,0.7694789581349928,0.0,0.5780633303714502,0.0,0.6493518401658405,0.0,0.6784800626060125,0.0,0.0223463687150838,0.0
"{'n_bins': 16, 'n_random_cuts': 25}",0.4906306580051023,0.1422568109956046,0.03910614525139665,0.03535353535353535,0.037135278514588865,18710.0,191.0,172.0,7.0,0.7635001429086989,0.6177173247111986,0.6538053599612815,0.6807172139518972,0.4906306580051023,0.1422568109956046,0.7635001429086989,0.0,0.6177173247111986,0.0,0.6538053599612815,0.0,0.6807172139518972,0.0,0.03910614525139665,0.0
"{'n_bins': 16, 'n_random_cuts': 50}",0.6959067970001342,0.19672901700323564,0.0223463687150838,0.0196078431372549,0.020887728459530026,18701.0,200.0,175.0,4.0,0.7649478508866694,0.6187214891389777,0.6543533300437118,0.6843118819369739,0.6959067970001342,0.19672901700323564,0.7649478508866694,0.0,0.6187214891389777,0.0,0.6543533300437118,0.0,0.6843118819369739,0.0,0.0223463687150838,0.0
"{'n_bins': 16, 'n_random_cuts': 75}",0.8786704699941765,0.23252603199034638,0.0335195530726257,0.03278688524590164,0.03314917127071824,18724.0,177.0,173.0,6.0,0.7698363037751247,0.6198726613722182,0.6620958528544336,0.6890932065922931,0.8786704699941765,0.23252603199034638,0.7698363037751247,0.0,0.6198726613722182,0.0,0.6620958528544336,0.0,0.6890932065922931,0.0,0.0335195530726257,0.0
"{'n_bins': 16, 'n_random_cuts': 100}",1.0387041039957694,0.25680367699715134,0.0335195530726257,0.031413612565445025,0.032432432432432434,18716.0,185.0,173.0,6.0,0.7680930245480789,0.6182376856733862,0.6575437653756844,0.6875282766783812,1.0387041039957694,0.25680367699715134,0.7680930245480789,0.0,0.6182376856733862,0.0,0.6575437653756844,0.0,0.6875282766783812,0.0,0.0335195530726257,0.0
"{'n_bins': 20, 'n_random_cuts': 25}",0.49152642100307276,0.14746052700138534,0.05027932960893855,0.04838709677419355,0.049315068493150684,18724.0,177.0,170.0,9.0,0.7748450541619535,0.6204533810947434,0.6663765799063243,0.6929402442040956,0.49152642100307276,0.14746052700138534,0.7748450541619535,0.0,0.6204533810947434,0.0,0.6663765799063243,0.0,0.6929402442040956,0.0,0.05027932960893855,0.0
