,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",0.3410927280128817,0.1157938690012088,0.12307692307692308,0.04945904173106646,0.07056229327453142,65375.0,615.0,228.0,32.0,0.6712024549174117,0.5686670786800475,0.5792752627386144,0.5761428727831837,0.3394195274049707,0.11477779559791088,0.6712024549174117,0.0,0.5686670786800475,0.0,0.5792752627386144,0.0,0.5761428727831837,0.0,0.12307692307692308,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",0.342625630004477,0.11868412097464898,0.12307692307692308,0.04945904173106646,0.07056229327453142,65375.0,615.0,228.0,32.0,0.6712024549174117,0.5686670786800475,0.5792752627386144,0.5761428727831837,0.3421623074005765,0.11797308259338024,0.6712024549174117,0.0,0.5686670786800475,0.0,0.5792752627386144,0.0,0.5761428727831837,0.0,0.12307692307692308,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",0.3209905740186514,0.11017228799755685,0.12307692307692308,0.04945904173106646,0.07056229327453142,65375.0,615.0,228.0,32.0,0.6712024549174117,0.5686670786800475,0.5792752627386144,0.5761428727831837,0.3352949226013152,0.11401288120468962,0.6712024549174117,0.0,0.5686670786800475,0.0,0.5792752627386144,0.0,0.5761428727831837,0.0,0.12307692307692308,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': False}",0.34153942599732545,0.1168011679801566,0.12307692307692308,0.04945904173106646,0.07056229327453142,65375.0,615.0,228.0,32.0,0.6712024549174117,0.5686670786800475,0.5792752627386144,0.5761428727831837,0.33399181999411665,0.11384652920241933,0.6712024549174117,0.0,0.5686670786800475,0.0,0.5792752627386144,0.0,0.5761428727831837,0.0,0.12307692307692308,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}",0.5167654540055082,0.16376027900332701,0.12307692307692308,0.04945904173106646,0.07056229327453142,65375.0,615.0,228.0,32.0,0.6712024549174117,0.5686670786800475,0.5792752627386144,0.5761428727831837,0.5117778447973251,0.16450632401174517,0.6712024549174117,0.0,0.5686670786800475,0.0,0.5792752627386144,0.0,0.5761428727831837,0.0,0.12307692307692308,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': False}",0.5148768709987053,0.15872156101249857,0.12307692307692308,0.04945904173106646,0.07056229327453142,65375.0,615.0,228.0,32.0,0.6712024549174117,0.5686670786800475,0.5792752627386144,0.5761428727831837,0.51257879539844,0.16663158019364346,0.6712024549174117,0.0,0.5686670786800475,0.0,0.5792752627386144,0.0,0.5761428727831837,0.0,0.12307692307692308,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': False, 'whiten': True}",0.5259595240058843,0.16653199600841617,0.12307692307692308,0.04945904173106646,0.07056229327453142,65375.0,615.0,228.0,32.0,0.6712024549174117,0.5686670786800475,0.5792752627386144,0.5761428727831837,0.5093382869978086,0.16317783499907818,0.6712024549174117,0.0,0.5686670786800475,0.0,0.5792752627386144,0.0,0.5761428727831837,0.0,0.12307692307692308,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': False, 'whiten': False}",0.5004953089992341,0.17137086200818885,0.12307692307692308,0.04945904173106646,0.07056229327453142,65375.0,615.0,228.0,32.0,0.6712024549174117,0.5686670786800475,0.5792752627386144,0.5761428727831837,0.5090974067999923,0.16374414780075314,0.6712024549174117,0.0,0.5686670786800475,0.0,0.5792752627386144,0.0,0.5761428727831837,0.0,0.12307692307692308,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",0.32908849601153634,0.11113749399373773,0.007692307692307693,0.004454342984409799,0.005641748942172073,65543.0,447.0,258.0,2.0,0.6779108722766853,0.5381611774546111,0.5643546404359454,0.5701579308008711,0.32276293960167096,0.1106631097944046,0.6779108722766853,0.0,0.5381611774546111,0.0,0.5643546404359454,0.0,0.5701579308008711,0.0,0.007692307692307693,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",0.31749602599302307,0.11097286199219525,0.007692307692307693,0.004454342984409799,0.005641748942172073,65543.0,447.0,258.0,2.0,0.6779108722766853,0.5381611774546111,0.5643546404359454,0.5701579308008711,0.3286306981950474,0.11303997060022083,0.6779108722766853,0.0,0.5381611774546111,0.0,0.5643546404359454,0.0,0.5701579308008711,0.0,0.007692307692307693,0.0
