,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
auto_encoder_dataset1,107.45082291299968,2.8470305259997986,0.0,0.0,0.0,18735.0,166.0,179.0,0.0,0.6398461374305814,0.4922063490296097,0.521190842026076,0.5478091972140566,107.01537114659918,2.159237038599213,0.6410825710797129,0.0018140924181424,0.4921009734646656,6.821237081812381e-05,0.5221965697604609,0.0025942900814086,0.5489105420522284,0.0027223981477568,0.0,0.0
auto_encoder_dataset2,135.60775027100226,2.847243373999845,0.0115384615384615,0.0038071065989847,0.0057251908396946,65205.0,785.0,257.0,3.0,0.7968079662419714,0.5791334685171851,0.6468108027245776,0.6853871090208147,124.34749028560036,2.834031893400242,0.7937462844020656,0.0015370421709181,0.573842541557031,0.0028529997636205,0.6420849801283092,0.0026032353526783,0.6802327332835519,0.0026687284163094,0.0107692307692307,0.0015384615384615
auto_encoder_dataset3,115.69228684900554,3.2926629049979965,0.1649122807017544,0.0373906125696101,0.0609597924773022,131005.0,1210.0,238.0,47.0,0.847882097938565,0.6467650931677436,0.7025508322399153,0.7376963158783252,115.73346215939893,3.400891719799256,0.847342933592348,0.0003307582288318,0.6452514474756899,0.0008333613142842,0.7017031265554423,0.0004532695414456,0.736657327053971,0.0006270680107192,0.1642105263157895,0.0014035087719298
auto_encoder_dataset4,144.3910166870046,4.962478277007904,0.1464435146443514,0.0264750378214826,0.0448430493273542,261948.0,2574.0,408.0,70.0,0.84843863308314,0.6162475769563032,0.6574317607833807,0.7058652599318513,150.4286839723929,4.878144419606542,0.8480302237122814,0.0015468623385069,0.6130475514982728,0.0032420825058225,0.6543721680547562,0.0034166428595675,0.7048927671160041,0.0031246871547834,0.1422594142259414,0.0060633375507068
auto_encoder_dataset5,167.3693041190022,5.663954772001034,0.166358595194085,0.0171200304356096,0.0310451879958606,524027.0,5167.0,451.0,90.0,0.9224104886266652,0.6771781297105297,0.7844735795185145,0.8478637031895395,173.81962525920125,5.806768532999831,0.9208738686811392,0.0014749668236963,0.6734321658477274,0.0034697888366466,0.7802051907809412,0.0040971300658232,0.8448507229041937,0.0028920918111693,0.1674676524953789,0.0049044359191946
auto_encoder_dataset6,160.01547284400294,8.525405536999187,0.1979320531757754,0.0084799392481964,0.0162631227623035,3145455.0,31336.0,1086.0,268.0,0.9686897043243948,0.8352089701283942,0.9130269564566528,0.9386072633811664,161.15657475880053,9.05209473659961,0.9682689038375486,0.000313410340057,0.8329942307239395,0.0016495281055634,0.9118580662154128,0.0008705842779362,0.93778216438735,0.0006145300785431,0.1561299852289512,0.0306462776565275
cblof_dataset1,2.5783372720004536,0.1599001559993667,0.1452513966480447,0.1547619047619047,0.1498559077809798,18759.0,142.0,153.0,26.0,0.7129683954530501,0.5871964527804064,0.5997155382491325,0.611533663052914,1.4370614351999391,0.1881883142000788,0.7120320257359797,0.0007651407887369,0.5871964527804064,0.0,0.5997155382491325,0.0,0.6115127992000382,1.7035264538148537e-05,0.1452513966480447,0.0
cblof_dataset2,0.7839130979998572,0.1607621790005851,0.1576923076923077,0.057422969187675,0.0841889117043121,65317.0,673.0,219.0,41.0,0.8153013277069951,0.6196077578982485,0.6455139052407578,0.6857530975601449,1.132684523999842,0.1932937373998356,0.8151955307913786,5.28984578082703e-05,0.6196077578982485,0.0,0.6455139052407578,0.0,0.6858575971449579,5.224979240652239e-05,0.1576923076923077,0.0
cblof_dataset3,1.022310318999189,0.1618941179999637,0.1157894736842105,0.0290492957746478,0.0464461646727656,131112.0,1103.0,252.0,33.0,0.8953393296803254,0.7226928819540952,0.7850554862240375,0.8121039151610132,1.0232701428002655,0.1668646783994518,0.8928779851531032,0.0019816849286816,0.7061969234499074,0.0115701930074668,0.7769943255755511,0.0057249316303171,0.8091404486652642,0.003189029682417,0.1164912280701754,0.0014035087719298
cblof_dataset4,1.1457530009997754,0.1788443930008725,0.1464435146443514,0.0267073636016787,0.0451758631816715,261971.0,2551.0,408.0,70.0,0.8952495555336429,0.6669528996199345,0.741450302621313,0.7980567879117098,1.155712545600636,0.1716469109995159,0.8942388242165651,0.0011826494024632,0.6638967501687973,0.0023315405686609,0.7387786844902086,0.0027837431222118,0.7960989015352704,0.0023140913175274,0.1464435146443514,0.0
cblof_dataset5,1.175594386001194,0.1768967539996992,0.1848428835489833,0.0206696982224059,0.0371816322736568,524456.0,4738.0,441.0,100.0,0.9370987415263404,0.7303643908922866,0.8292583139540106,0.8788173339780592,1.1722938994003016,0.1713926776001244,0.936778920591526,0.0001649420736358,0.7289860092606514,0.0007384903085798,0.8283699224684149,0.0004581724267663,0.8781902341058739,0.0003234158306586,0.1855822550831793,0.0009055414945593
cblof_dataset6,1.043774242998552,0.1765111570020963,0.2008862629246676,0.0086231493516786,0.0165364622913943,3145520.0,31271.0,1082.0,272.0,0.9720590639949256,0.8529424420785557,0.9223862888747936,0.9452138509704424,1.1763073699987217,0.1812540760007323,0.9720402908352412,2.422397556669696e-05,0.8528436359749539,0.0001274946082457,0.9223341412090036,6.728882101867887e-05,0.9451770408534144,4.749799130719905e-05,0.2004431314623338,0.0008862629246676
copod_dataset1,0.5187771039963991,0.2268795349991705,0.0782122905027933,0.0725388601036269,0.075268817204301,18722.0,179.0,165.0,14.0,0.7695890584252731,0.556704885221828,0.6152667436836582,0.659029253264735,0.5187771039963991,0.2268795349991705,0.7695890584252731,0.0,0.556704885221828,0.0,0.6152667436836582,0.0,0.659029253264735,0.0,0.0782122905027933,0.0
copod_dataset2,0.3502572340039478,0.1695951039982901,0.1423076923076923,0.0548961424332344,0.0792291220556745,65353.0,637.0,223.0,37.0,0.8608911315234243,0.5950883246326735,0.690864923201262,0.7465764304956417,0.3502572340039478,0.1695951039982901,0.8608911315234243,0.0,0.5950883246326735,0.0,0.690864923201262,0.0,0.7465764304956417,0.0,0.1423076923076923,0.0
copod_dataset3,0.4013064910031971,0.2098244699991482,0.1964912280701754,0.0413589364844904,0.0683343502135448,130917.0,1298.0,229.0,56.0,0.8925031729950752,0.6419579396147596,0.7397437417900304,0.795328154940846,0.4013064910031971,0.2098244699991482,0.8925031729950752,0.0,0.6419579396147596,0.0,0.7397437417900304,0.0,0.795328154940846,0.0,0.1964912280701754,0.0
copod_dataset4,0.4444683399960922,0.2792372359836008,0.1129707112970711,0.0199778024417314,0.0339515875510845,261873.0,2649.0,424.0,54.0,0.8901204015934134,0.6324424676480307,0.7262691547010908,0.7852473052562583,0.4444683399960922,0.2792372359836008,0.8901204015934134,0.0,0.6324424676480307,0.0,0.7262691547010908,0.0,0.7852473052562583,0.0,0.1129707112970711,0.0
copod_dataset5,0.9242920059987229,0.4103062310023233,0.1515711645101663,0.0155214840053,0.0281593406593406,523993.0,5201.0,459.0,82.0,0.9368013269326674,0.7131426962873124,0.8244481303685202,0.8760810332013083,0.9242920059987229,0.4103062310023233,0.9368013269326674,0.0,0.7131426962873124,0.0,0.8244481303685202,0.0,0.8760810332013083,0.0,0.1515711645101663,0.0
copod_dataset6,1.5458242269996845,2.062525995002943,0.1920236336779911,0.008771337966399,0.0167763582397728,3147409.0,29382.0,1094.0,260.0,0.9709134016232512,0.8469126401223751,0.91920389339792,0.9429674541632378,1.5458242269996845,2.062525995002943,0.9709134016232512,0.0,0.8469126401223751,0.0,0.91920389339792,0.0,0.9429674541632378,0.0,0.1920236336779911,0.0
deep_svdd_dataset1,89.63123631692724,2.120002405019477,0.0167597765363128,0.0163043478260869,0.0165289256198347,18720.0,181.0,176.0,3.0,0.7365928142491351,0.571732304941092,0.6119247453317377,0.6470315962014087,92.04982489640824,2.22461396738072,0.6982662086100497,0.041174770580149,0.5362613050410435,0.0205966991997146,0.573952511282229,0.0281432986214809,0.605515490293192,0.0314888576109371,0.0134078212290502,0.0083612455570367
deep_svdd_dataset2,96.90023185094468,2.9683533790084766,0.0153846153846153,0.0060514372163388,0.008686210640608,65333.0,657.0,256.0,4.0,0.8288453087297609,0.604041957038025,0.6783855330320704,0.720969023370011,97.10042679159378,2.9161858600127744,0.8286302994626226,0.026574106939051,0.5951688364960869,0.0102459635620274,0.6738244008998161,0.0155278647139738,0.7205401696255702,0.0242414027271244,0.0153846153846153,0.0108785658644084
deep_svdd_dataset3,99.65219358603645,4.62896295999235,0.1087719298245614,0.0264957264957264,0.0426116838487972,131076.0,1139.0,254.0,31.0,0.844443546562583,0.6711434227780754,0.7022153060254877,0.7247215361616884,100.35583285256288,3.951165789796505,0.8368679616069254,0.0133717783758613,0.6633087517230399,0.0076642906546524,0.6965179876034803,0.0145518418137785,0.7159982798614536,0.0194854797207169,0.1326315789473684,0.0219010337323891
