,"{'hidden_activation': 'tanh', 'hidden_neurons': [4, 2, 2, 4]}"
best_classifier_training_time,14.382158313999753
best_classifier_inference_time,2.6060416849995818
best_classifier_recall,0.007692307692307693
best_classifier_precision,0.0030165912518853697
best_classifier_f1,0.004333694474539546
best_classifier_TN,65329
best_classifier_FP,661
best_classifier_FN,258
best_classifier_TP,2
best_classifier_auc,0.5709307937100027
best_classifier_p_auc_10,0.48399447714136545
best_classifier_p_auc_20,0.5129396709939217
best_classifier_p_auc_30,0.5641749618354808
training_time_avg,15.640714875199773
inference_time_avg,2.5255094425996503
auc_avg,0.5799934722044133
auc_std,0.006600129611003582
p_auc_10_avg,0.48394738989406444
p_auc_10_std,5.81049687705601e-05
p_auc_20_avg,0.5152224258920349
p_auc_20_std,0.0026385430098689
p_auc_30_avg,0.5685465049437308
p_auc_30_std,0.0035296298106692182
recall_avg,0.007692307692307693
recall_std,0.0
