,"{'hidden_activation': 'sigmoid', 'hidden_neurons': [4, 2, 2, 4]}"
best_classifier_training_time,53.273284440998395
best_classifier_inference_time,10.299818595000033
best_classifier_recall,0.008385744234800839
best_classifier_precision,0.0015261350629530714
best_classifier_f1,0.002582311168495804
best_classifier_TN,261906
best_classifier_FP,2617
best_classifier_FN,473
best_classifier_TP,4
best_classifier_auc,0.7449399187910496
best_classifier_p_auc_10,0.5169760870604121
best_classifier_p_auc_20,0.5949726977435781
best_classifier_p_auc_30,0.6762067304205761
training_time_avg,65.17928863300003
inference_time_avg,9.975583188599922
auc_avg,0.7463857220596852
auc_std,0.0011889057758236886
p_auc_10_avg,0.5169112242267596
p_auc_10_std,6.757339315954952e-05
p_auc_20_avg,0.5946747293170562
p_auc_20_std,0.00028425729875751964
p_auc_30_avg,0.6760271557759884
p_auc_30_std,0.00023276887405211192
recall_avg,0.008385744234800839
recall_std,0.0
