,"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}"
best_classifier_training_time,0.6084652170029585
best_classifier_inference_time,0.04483800900197821
best_classifier_recall,0.0111731843575419
best_classifier_precision,0.010471204188481676
best_classifier_f1,0.010810810810810811
best_classifier_TN,18712
best_classifier_FP,189
best_classifier_FN,177
best_classifier_TP,2
best_classifier_auc,0.377371478970549
best_classifier_p_auc_10,0.48484669209336484
best_classifier_p_auc_20,0.4622907901542327
best_classifier_p_auc_30,0.44291710416282604
training_time_avg,0.7304545294005947
inference_time_avg,0.04223012140064384
auc_avg,0.377371478970549
auc_std,0.0
p_auc_10_avg,0.48484669209336484
p_auc_10_std,0.0
p_auc_20_avg,0.4622907901542327
p_auc_20_std,0.0
p_auc_30_avg,0.44291710416282604
p_auc_30_std,0.0
recall_avg,0.0111731843575419
recall_std,0.0
