,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",7.783756329001335,0.447361924998404,0.1528888888888888,0.0055791624768886,0.0107654753708455,3146363.0,30657.0,953.0,172.0,0.8929692309844514,0.8359462817798915,0.8899593030381527,0.9057664797044912,7.092435881799611,0.4438941297987185,0.8929692309844514,0.0,0.8359462817798915,0.0,0.8899593030381527,0.0,0.9057664797044912,0.0,0.1528888888888888,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",7.815555894001591,0.456873731000087,0.1537777777777778,0.0055829864136573,0.0107747882411559,3146206.0,30814.0,952.0,173.0,0.8938087287947686,0.8361757763288493,0.8903273387414605,0.9062005615517064,7.228368808800587,0.4575645290002285,0.8938087287947687,1.1102230246251563e-16,0.8361757763288493,0.0,0.8903273387414605,0.0,0.9062005615517064,0.0,0.1537777777777778,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': True}",11.117398372000023,0.4743790909997187,0.1564444444444444,0.0055440055440055,0.0107085272732803,3145450.0,31570.0,949.0,176.0,0.9319167114675598,0.8477554842761363,0.9075499623803064,0.9262008449046172,10.641888317600388,0.4764083227993979,0.9319167121390486,5.48268253225951e-10,0.8477554842761365,1.1102230246251563e-16,0.9075499623803064,0.0,0.9262008449046172,0.0,0.1564444444444444,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}",10.869335188999685,0.4385798309995152,0.1537777777777778,0.0055829864136573,0.0107747882411559,3146206.0,30814.0,952.0,173.0,0.932630554698708,0.8473421372729992,0.9075787205977868,0.9263954367618364,10.561472737199802,0.4393262514000525,0.932630554698708,1.1102230246251563e-16,0.8473421372729992,0.0,0.9075787205977868,0.0,0.9263954367618364,1.1102230246251563e-16,0.1537777777777778,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",7.5266604799981,0.4419337020008242,0.1528888888888888,0.0055791624768886,0.0107654753708455,3146363.0,30657.0,953.0,172.0,0.8929692309844514,0.8359462817798915,0.8899593030381527,0.9057664797044912,7.09225209259821,0.4513780234003207,0.8929692309844514,0.0,0.8359462817798915,0.0,0.8899593030381527,0.0,0.9057664797044912,0.0,0.1528888888888888,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",7.640575018998788,0.420033135000267,0.1537777777777778,0.0055829864136573,0.0107747882411559,3146206.0,30814.0,952.0,173.0,0.8938087287947686,0.8361757763288493,0.8903273387414605,0.9062005615517064,7.057329990600556,0.4179075503991044,0.8938087287947687,1.1102230246251563e-16,0.8361757763288493,0.0,0.8903273387414605,0.0,0.9062005615517064,0.0,0.1537777777777778,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': True}",10.452851228001236,0.4615588489978108,0.1564444444444444,0.0055440055440055,0.0107085272732803,3145450.0,31570.0,949.0,176.0,0.9319167114675598,0.8477554842761363,0.9075499623803064,0.9262008449046172,10.421887951400276,0.4618264439995982,0.9319167121390486,5.48268253225951e-10,0.8477554842761365,1.1102230246251563e-16,0.9075499623803064,0.0,0.9262008449046172,0.0,0.1564444444444444,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': False}",10.521203701999184,0.4407397780014435,0.1537777777777778,0.0055829864136573,0.0107747882411559,3146206.0,30814.0,952.0,173.0,0.932630554698708,0.8473421372729992,0.9075787205977868,0.9263954367618364,10.404510266800209,0.4355590135994134,0.932630554698708,1.1102230246251563e-16,0.8473421372729992,0.0,0.9075787205977868,0.0,0.9263954367618364,1.1102230246251563e-16,0.1537777777777778,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': True}",8.715730465999513,0.4204974749991379,0.1528888888888888,0.0055791624768886,0.0107654753708455,3146363.0,30657.0,953.0,172.0,0.8929692309844514,0.8359462817798915,0.8899593030381527,0.9057664797044912,7.308159325199085,0.4326894033991266,0.8929692309844514,0.0,0.8359462817798915,0.0,0.8899593030381527,0.0,0.9057664797044912,0.0,0.1528888888888888,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': False}",7.557499282000208,0.3993144209998718,0.1537777777777778,0.0055829864136573,0.0107747882411559,3146206.0,30814.0,952.0,173.0,0.8938087287947686,0.8361757763288493,0.8903273387414605,0.9062005615517064,7.490141326798766,0.4349721757993393,0.8938087287947687,1.1102230246251563e-16,0.8361757763288493,0.0,0.8903273387414605,0.0,0.9062005615517064,0.0,0.1537777777777778,0.0
