,{}
best_classifier_training_time,0.22402273300031084
best_classifier_inference_time,0.39469502800056944
best_classifier_recall,0.006289308176100629
best_classifier_precision,0.0011376564277588168
best_classifier_f1,0.0019267822736030828
best_classifier_TN,261889
best_classifier_FP,2634
best_classifier_FN,474
best_classifier_TP,3
best_classifier_auc,0.8481013460794438
best_classifier_p_auc_10,0.545454183361407
best_classifier_p_auc_20,0.6291577743964557
best_classifier_p_auc_30,0.703527847477268
training_time_avg,0.22402273300031084
inference_time_avg,0.39469502800056944
auc_avg,0.8481013460794438
auc_std,0.0
p_auc_10_avg,0.545454183361407
p_auc_10_std,0.0
p_auc_20_avg,0.6291577743964557
p_auc_20_std,0.0
p_auc_30_avg,0.703527847477268
p_auc_30_std,0.0
recall_avg,0.006289308176100629
recall_std,0.0
