,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",0.20313376900048752,0.08210114800021984,0.0,0.0,0.0,264523.0,0.0,477.0,0.0,0.8550984311612966,0.5918317903706903,0.6521929692611939,0.7161414785312147,0.21334083060010017,0.08663128040025185,0.82886910770307,0.04957027069707968,0.5518166700350218,0.021570204134256,0.6276645850519926,0.039813007791914955,0.6984135437463774,0.046012118231014316,0.008805031446540882,0.013018175845920356
"{'max_samples': 128, 'n_estimators': 10}",1.3162750970004709,0.5945771039996544,0.008385744234800839,0.0015667841754798276,0.0026402640264026403,261974.0,2549.0,473.0,4.0,0.8720602626438756,0.5565489337643271,0.671737029075495,0.7500343833245906,1.332677870400221,0.6004732759996841,0.852931500743108,0.011229390587157103,0.5431592423251705,0.011443108541510273,0.6326425590562399,0.02328505357270167,0.7125698440360408,0.02189813103777544,0.008805031446540882,0.003606844975699215
"{'max_samples': 128, 'n_estimators': 50}",6.1978153379996,2.9300921419999213,0.008385744234800839,0.001511144692104269,0.002560819462227913,261880.0,2643.0,473.0,4.0,0.8550360666207995,0.54653059553255,0.6357329757827798,0.7165865998500527,6.202716851800142,2.9103603779998592,0.8564241733771951,0.0038303875826295073,0.5448768289801259,0.0011054165098348804,0.6391932943315272,0.005565214057545432,0.7192889592307005,0.007349435817830032,0.007966457023060796,0.002781236721472033
"{'max_samples': 128, 'n_estimators': 100}",12.21196596199934,5.608361703999435,0.008385744234800839,0.0015238095238095239,0.0025789813023855573,261902.0,2621.0,473.0,4.0,0.8586008789160149,0.5503648215940448,0.643449807547976,0.7235967291952261,12.154444863599746,5.719957447999877,0.8565462997748623,0.001622528439399479,0.5447684262222031,0.0029214018760754493,0.6396624542957516,0.003009190270382101,0.7193962010572131,0.003223952183888272,0.008805031446540882,0.0015688290929869778
"{'max_samples': 256, 'n_estimators': 1}",0.20142135100013547,0.08441779099939595,0.03773584905660377,0.008875739644970414,0.01437125748502994,262513.0,2010.0,459.0,18.0,0.8767547853293081,0.604844213015887,0.6897363001095529,0.7587201922884077,0.21408979219995672,0.08986767999977019,0.8284932402869287,0.03309973122872216,0.5609488400920537,0.025931783651092326,0.6446668885555356,0.030924424909961553,0.7162224940914748,0.02754098517492648,0.014255765199161424,0.012536617515912833
"{'max_samples': 256, 'n_estimators': 10}",1.7730816749999576,0.8340039720005734,0.012578616352201259,0.0022727272727272726,0.003849855630413859,261889.0,2634.0,471.0,6.0,0.8607254578751224,0.558240114807925,0.6454593680257303,0.7272665107697939,1.4453613301999213,0.6642690030001177,0.856344970648524,0.003941542435333712,0.5488095249415832,0.01116652623601575,0.6363980661639749,0.0113061266055421,0.7188663108854607,0.0076157600044278045,0.010901467505241088,0.004476762369824448
"{'max_samples': 256, 'n_estimators': 50}",6.507660176999707,3.0206336940000256,0.008385744234800839,0.0015267175572519084,0.002583144979011947,261907.0,2616.0,473.0,4.0,0.8625531771832706,0.5547084587999407,0.6499035363540542,0.7309612969738829,6.444567961399661,3.0013876014001655,0.8610899246823547,0.0035079509894329775,0.5502464656670438,0.003034343340324662,0.6463597381976534,0.0056753941059680514,0.7281413581824548,0.006824818885690876,0.008805031446540882,0.0015688290929869776
"{'max_samples': 256, 'n_estimators': 100}",12.689188407999609,6.042044591999911,0.010482180293501049,0.0018910741301059002,0.0032041012495994873,261884.0,2639.0,472.0,5.0,0.8621964970275874,0.5573239978708034,0.6513170323138325,0.7304280970267238,12.849580674999743,6.117419227199934,0.8612392572046399,0.0007854980432996253,0.550235204862604,0.0042273459418806884,0.6466043414252195,0.0027257423739264503,0.7283798310464845,0.001553195028129644,0.009643605870020966,0.0010270397244373911
"{'max_samples': 512, 'n_estimators': 1}",0.2171028569991904,0.08861821400023473,0.023060796645702306,0.004923903312444047,0.008115086683880487,262300.0,2223.0,466.0,11.0,0.803196812369143,0.5812198944051336,0.6763000322659296,0.7480810339017202,0.22609864399983054,0.09545132940020266,0.7970481616325944,0.05643897667230383,0.5588152738943047,0.01240989876294039,0.635068809784016,0.022765108250816218,0.7049891690002434,0.02510181626424159,0.012997903563941298,0.0071892780710617376
"{'max_samples': 512, 'n_estimators': 10}",1.3954430280000452,0.6341044350001539,0.010482180293501049,0.0020652622883106154,0.0034506556245686684,262107.0,2416.0,472.0,5.0,0.855088104436647,0.5605345426522299,0.6301693566375428,0.7161593553742858,1.4518280616000994,0.6534111580000171,0.8553964788214847,0.007054418010398352,0.554111765059459,0.009565037493545862,0.6402888512493304,0.011863565070410545,0.7172059936916251,0.013574739712301108,0.011320754716981133,0.003137658185973955
"{'max_samples': 512, 'n_estimators': 50}",6.714196332000029,3.1168781799997305,0.008385744234800839,0.0015105740181268882,0.00256,261879.0,2644.0,473.0,4.0,0.8675744895853872,0.5650528110855109,0.663894450595202,0.7409299242893054,6.715447245799806,3.1503951936001613,0.8661641775971243,0.0018436186276429508,0.5625305818492331,0.0023499770107896652,0.6600381186632065,0.003930030281599642,0.73801477086959,0.003685829714408646,0.008805031446540882,0.0015688290929869776
"{'max_samples': 512, 'n_estimators': 100}",13.537184638999861,6.288637783000013,0.008385744234800839,0.0015249714067861228,0.0025806451612903226,261904.0,2619.0,473.0,4.0,0.8684064883500479,0.5675462122460998,0.6680809445471451,0.7424122212429204,13.516436615999737,6.30909554300033,0.8667212176094417,0.0015858707223753545,0.5627357281976046,0.004960614400626246,0.6609026569795017,0.005008294802667971,0.7390639770424899,0.0030561935948041495,0.009224318658280923,0.0010270397244373911
"{'max_samples': 1024, 'n_estimators': 1}",0.22099514999990788,0.09285031699982937,0.031446540880503145,0.008055853920515575,0.012825994014536126,262676.0,1847.0,462.0,15.0,0.6582912768952232,0.5840372296401712,0.6369750367244563,0.6860725682815064,0.22605037840003206,0.09599069140022039,0.7959828621069762,0.07372365787661221,0.5601369491806564,0.015150600116078721,0.6275617256119197,0.023487836033024307,0.7016619033836385,0.020579802645945396,0.016771488469601678,0.010771683504121702
"{'max_samples': 1024, 'n_estimators': 10}",1.4945530920003876,0.6814479000004212,0.008385744234800839,0.0015168752370117557,0.0025690430314707774,261890.0,2633.0,473.0,4.0,0.8766673370716075,0.5735108066469168,0.6805576862745758,0.7584750374379186,1.4796572894003475,0.6776690758000768,0.8646849705840118,0.008876403099331834,0.5631421757820705,0.006686260375326214,0.6584018086303329,0.015473216644137543,0.7352801324995569,0.017014195051858475,0.007966457023060798,0.0033542976939203357
"{'max_samples': 1024, 'n_estimators': 50}",7.156050806000167,3.311498610999479,0.006289308176100629,0.0011342155009451795,0.0019218449711723253,261881.0,2642.0,474.0,3.0,0.8733634984647932,0.5722317086360886,0.6751011275574262,0.7524283709557233,7.0940877938002815,3.2747934689999965,0.8697838990607126,0.002497789084824067,0.5649147483785996,0.0054950380071715,0.6652431840183887,0.008173710057422125,0.7451308939770078,0.005067284342208573,0.009643605870020966,0.0021379536744623837
