,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",0.7301553149991378,0.42550565299825394,0.0,0.0,0.0,263699.0,824.0,477.0,0.0,0.8729856893391055,0.5852430652787468,0.6886536204378215,0.752046044186979,0.7301553149991378,0.42550565299825394,0.8729856893391055,0.0,0.5852430652787468,0.0,0.6886536204378215,0.0,0.752046044186979,0.0,0.0,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",1.3856345160020282,0.8266118270003062,0.0,0.0,0.0,263699.0,824.0,477.0,0.0,0.8728750118949522,0.5849564873173908,0.6884244710413818,0.7518353508286364,1.3856345160020282,0.8266118270003062,0.8728750118949522,0.0,0.5849564873173908,0.0,0.6884244710413818,0.0,0.7518353508286364,0.0,0.0,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",2.0534513070015237,1.175328441997408,0.0,0.0,0.0,263699.0,824.0,477.0,0.0,0.8728750118949522,0.5849564873173908,0.6884244710413818,0.7518353508286364,2.0534513070015237,1.175328441997408,0.8728750118949522,0.0,0.5849564873173908,0.0,0.6884244710413818,0.0,0.7518353508286364,0.0,0.0,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",2.7845476509974105,1.6097019069966336,0.0,0.0,0.0,263699.0,824.0,477.0,0.0,0.8729856893391055,0.5852430652787468,0.6886536204378215,0.752046044186979,2.7845476509974105,1.6097019069966336,0.8729856893391055,0.0,0.5852430652787468,0.0,0.6886536204378215,0.0,0.752046044186979,0.0,0.0,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",0.7263922630008892,0.42172073400070076,0.0,0.0,0.0,263676.0,847.0,477.0,0.0,0.8768610126921943,0.5785471812220712,0.6890297104091516,0.7595585802758833,0.7263922630008892,0.42172073400070076,0.8768610126921943,0.0,0.5785471812220712,0.0,0.6890297104091516,0.0,0.7595585802758833,0.0,0.0,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",1.409504248000303,0.82833447899975,0.0,0.0,0.0,263677.0,846.0,477.0,0.0,0.8769557998194464,0.5787701960910301,0.6892699654189028,0.75974256480556,1.409504248000303,0.82833447899975,0.8769557998194464,0.0,0.5787701960910301,0.0,0.6892699654189028,0.0,0.75974256480556,0.0,0.0,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",2.1000945179985138,1.2394861329994455,0.0,0.0,0.0,263676.0,847.0,477.0,0.0,0.8768610126921944,0.5785471812220712,0.6890297104091516,0.7595585802758833,2.1000945179985138,1.2394861329994455,0.8768610126921944,0.0,0.5785471812220712,0.0,0.6890297104091516,0.0,0.7595585802758833,0.0,0.0,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",2.85116117600046,1.6344544159983343,0.0,0.0,0.0,263676.0,847.0,477.0,0.0,0.8771325191642174,0.5785095755551255,0.6891301971720037,0.7600376994507303,2.85116117600046,1.6344544159983343,0.8771325191642174,0.0,0.5785095755551255,0.0,0.6891301971720037,0.0,0.7600376994507303,0.0,0.0,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",0.7350424049982394,0.428680559998611,0.008385744234800839,0.002336448598130841,0.0036546368204659657,262815.0,1708.0,473.0,4.0,0.88279933903573,0.5891722599853526,0.7051946409676167,0.7711941861238192,0.7350424049982394,0.428680559998611,0.88279933903573,0.0,0.5891722599853526,0.0,0.7051946409676167,0.0,0.7711941861238192,0.0,0.008385744234800839,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",1.4339301660002093,0.816782408997824,0.008385744234800839,0.002336448598130841,0.0036546368204659657,262815.0,1708.0,473.0,4.0,0.8828505843170688,0.5887753216707784,0.704754625622589,0.771247209686122,1.4339301660002093,0.816782408997824,0.8828505843170688,0.0,0.5887753216707784,0.0,0.704754625622589,0.0,0.771247209686122,0.0,0.008385744234800839,0.0
