,"{'n_components': 2, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,0.014668627999526507
best_classifier_inference_time,0.006092198999795073
best_classifier_recall,0.0111731843575419
best_classifier_precision,0.010471204188481676
best_classifier_f1,0.010810810810810811
best_classifier_TN,18712
best_classifier_FP,189
best_classifier_FN,177
best_classifier_TP,2
best_classifier_auc,0.20574478191127601
best_classifier_p_auc_10,0.4866513879146921
best_classifier_p_auc_20,0.4636510747249767
best_classifier_p_auc_30,0.4362661135520177
training_time_avg,0.016080019599939988
inference_time_avg,0.00548500819986657
auc_avg,0.20574478191127601
auc_std,0.0
p_auc_10_avg,0.4866513879146921
p_auc_10_std,0.0
p_auc_20_avg,0.46365107472497674
p_auc_20_std,5.551115123125783e-17
p_auc_30_avg,0.4362661135520177
p_auc_30_std,0.0
recall_avg,0.0111731843575419
recall_std,0.0
