,"{'n_components': 2, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,0.042882753999947454
best_classifier_inference_time,0.02061467099974834
best_classifier_recall,0.02456140350877193
best_classifier_precision,0.005299015897047691
best_classifier_f1,0.008717310087173101
best_classifier_TN,130901
best_classifier_FP,1314
best_classifier_FN,278
best_classifier_TP,7
best_classifier_auc,0.7289335220212161
best_classifier_p_auc_10,0.5053658539866189
best_classifier_p_auc_20,0.6601174736140313
best_classifier_p_auc_30,0.7132992968200867
training_time_avg,0.04265492759986955
inference_time_avg,0.020508722999875318
auc_avg,0.7289335220212161
auc_std,0.0
p_auc_10_avg,0.5053658539866189
p_auc_10_std,0.0
p_auc_20_avg,0.6601174736140313
p_auc_20_std,0.0
p_auc_30_avg,0.7132992968200867
p_auc_30_std,0.0
recall_avg,0.02456140350877193
recall_std,0.0
