,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
auto_encoder_dataset1,18.277158126998984,1.3212585349992878,0.0111731843575419,0.0104712041884816,0.0108108108108108,18712.0,189.0,177.0,2.0,0.4124093815496742,0.4846460147716243,0.4624952269348431,0.4409375881660783,8.713701388999834,0.9405039683999348,0.427827087272436,0.0083889999508621,0.4841465304734502,0.0002497874458909,0.4620273704888069,0.0002343776122912,0.4414836647420168,0.0002732302479659,0.0111731843575419,0.0
auto_encoder_dataset2,14.382158313999753,2.6060416849995818,0.0076923076923076,0.0030165912518853,0.0043336944745395,65329.0,661.0,258.0,2.0,0.5709307937100027,0.4839944771413654,0.5129396709939217,0.5641749618354808,15.640714875199771,2.5255094425996503,0.5799934722044133,0.0066001296110035,0.4839473898940644,5.81049687705601e-05,0.5152224258920349,0.0026385430098689,0.5685465049437308,0.0035296298106692,0.0076923076923076,0.0
auto_encoder_dataset3,18.40190941499896,4.65243066199946,0.0070175438596491,0.0015140045420136,0.0024906600249066,130896.0,1319.0,283.0,2.0,0.708360478778916,0.5010802692067249,0.5645746609040049,0.6518517850722678,30.801779951599748,4.796569632600222,0.7358341457394953,0.0381042707498004,0.5001124634278133,0.0007679997799935,0.561327952318703,0.0057303511809292,0.6516932520743745,0.0032118479901109,0.0070175438596491,8.673617379884035e-19
auto_encoder_dataset4,53.2732844409984,10.299818595000032,0.0083857442348008,0.001526135062953,0.0025823111684958,261906.0,2617.0,473.0,4.0,0.7449399187910496,0.5169760870604121,0.5949726977435781,0.6762067304205761,65.17928863300003,9.975583188599922,0.7463857220596852,0.0011889057758236,0.5169112242267596,6.757339315954952e-05,0.5946747293170562,0.0002842572987575,0.6760271557759884,0.0002327688740521,0.0083857442348008,0.0
auto_encoder_dataset5,55.65167692700015,16.309581159999652,0.0225988700564971,0.0023019374640322,0.0041782729805013,524003.0,5201.0,519.0,12.0,0.8866036085949134,0.5876067754441108,0.730965490778454,0.8060313991994729,96.18693744759985,17.656166062999908,0.8866104838605559,9.187784360032628e-06,0.5876039479694933,2.6234347471965524e-06,0.730984588738572,2.5521623222173418e-05,0.8060448801124973,1.8015263450959083e-05,0.0225988700564971,0.0
auto_encoder_dataset6,411.695083833,98.1965195109999,0.1537777777777778,0.0055939985772489,0.0107952949985959,3146267.0,30753.0,952.0,173.0,0.9731757434465144,0.8588197023500745,0.9254881762403172,0.9474034185225768,333.7006078040001,115.66673550379991,0.9731630844278252,6.32951338511669e-06,0.8587530759359217,3.331322834218184e-05,0.9254530122995142,1.7581981625063877e-05,0.947378596917304,1.2410810558904504e-05,0.1537777777777778,0.0
cblof_dataset1,0.6084652170029585,0.0448380090019782,0.0111731843575419,0.0104712041884816,0.0108108108108108,18712.0,189.0,177.0,2.0,0.377371478970549,0.4848466920933648,0.4622907901542327,0.442917104162826,0.7304545294005947,0.0422301214006438,0.377371478970549,0.0,0.4848466920933648,0.0,0.4622907901542327,0.0,0.442917104162826,0.0,0.0111731843575419,0.0
cblof_dataset2,0.822653752999031,0.0158617880006204,0.0076923076923076,0.0030165912518853,0.0043336944745395,65329.0,661.0,258.0,2.0,0.5605850245375172,0.4843219405712925,0.5119562922639146,0.5609033499979543,0.7451901911990717,0.0181614067994814,0.5605850245375172,0.0,0.4843219405712925,0.0,0.5119562922639146,0.0,0.5609033499979543,0.0,0.0076923076923076,0.0
cblof_dataset3,0.9096869669992884,0.0293350669999199,0.0070175438596491,0.0015325670498084,0.0025157232704402,130912.0,1303.0,283.0,2.0,0.7063457513048591,0.4999839547556934,0.5670650667267024,0.6556854882452473,0.7849845068005379,0.0287112250000063,0.7063457513048591,0.0,0.4999839547556933,5.551115123125783e-17,0.5670650667267024,0.0,0.6556854882452473,0.0,0.0070175438596491,8.673617379884035e-19
cblof_dataset4,1.622126243000821,0.0452289040003961,0.0083857442348008,0.0015461925009663,0.0026109660574412,261940.0,2583.0,473.0,4.0,0.7143115350600107,0.5174426310933699,0.5960890540699879,0.6727218349742436,1.6024786768000925,0.0465427262002776,0.7143094586195977,1.720161417032592e-06,0.5174404286816823,1.7982616127402823e-06,0.596085778260685,2.6746870956838625e-06,0.6727190004978828,2.3143402573337228e-06,0.0083857442348008,0.0
cblof_dataset5,2.486438627998723,0.0813950140000088,0.0207156308851224,0.0020793950850661,0.0037794193437553,523925.0,5279.0,520.0,11.0,0.7055665300026132,0.588602462490672,0.7035360574208143,0.7438349866569286,2.434456001599756,0.0803218774010019,0.7055664787583972,1.0248843200777457e-07,0.588602462490672,0.0,0.7035360574208143,0.0,0.7438349866569286,0.0,0.0207156308851224,0.0
cblof_dataset6,11.117398372000023,0.4743790909997187,0.1564444444444444,0.0055440055440055,0.0107085272732803,3145450.0,31570.0,949.0,176.0,0.9319167114675598,0.8477554842761363,0.9075499623803064,0.9262008449046172,10.641888317600388,0.4764083227993979,0.9319167121390486,5.48268253225951e-10,0.8477554842761365,1.1102230246251563e-16,0.9075499623803064,0.0,0.9262008449046172,0.0,0.1564444444444444,0.0
copod_dataset1,0.0335939969991159,0.0492151219987135,0.0111731843575419,0.0104712041884816,0.0108108108108108,18712.0,189.0,177.0,2.0,0.5954309414032954,0.4899633415424877,0.4771260858671917,0.4707104800854264,0.0335939969991159,0.0492151219987135,0.5954309414032954,0.0,0.4899633415424877,0.0,0.4771260858671917,0.0,0.4707104800854264,0.0,0.0111731843575419,0.0
copod_dataset2,0.0774727919997531,0.1204528950001986,0.0076923076923076,0.0030165912518853,0.0043336944745395,65329.0,661.0,258.0,2.0,0.7330258372480678,0.4951961805033642,0.5265790724572358,0.5746396055712084,0.0774727919997531,0.1204528950001986,0.7330258372480678,0.0,0.4951961805033642,0.0,0.5265790724572358,0.0,0.5746396055712084,0.0,0.0076923076923076,0.0
copod_dataset3,0.1276341420016251,0.2278934530004335,0.0105263157894736,0.0022658610271903,0.0037290242386575,130894.0,1321.0,282.0,3.0,0.8037475244667279,0.527516616255966,0.5803438032403214,0.6489628222141488,0.1276341420016251,0.2278934530004335,0.8037475244667279,0.0,0.527516616255966,0.0,0.5803438032403214,0.0,0.6489628222141488,0.0,0.0105263157894736,0.0
copod_dataset4,0.2240227330003108,0.3946950280005694,0.0062893081761006,0.0011376564277588,0.001926782273603,261889.0,2634.0,474.0,3.0,0.8481013460794438,0.545454183361407,0.6291577743964557,0.703527847477268,0.2240227330003108,0.3946950280005694,0.8481013460794438,0.0,0.545454183361407,0.0,0.6291577743964557,0.0,0.703527847477268,0.0,0.0062893081761006,0.0
copod_dataset5,0.3962900149999768,0.8063653000026534,0.0263653483992467,0.0026460026460026,0.0048093438680865,523927.0,5277.0,517.0,14.0,0.9166340821066996,0.6315258957472103,0.7684280058519439,0.8365374158954897,0.3962900149999768,0.8063653000026534,0.9166340821066996,0.0,0.6315258957472103,0.0,0.7684280058519439,0.0,0.8365374158954897,0.0,0.0263653483992467,0.0
copod_dataset6,2.253263418999268,4.577786320998712,0.1706666666666666,0.0060698027314112,0.0117226852275849,3145580.0,31440.0,933.0,192.0,0.9730450918715582,0.8581320624818851,0.925125255198773,0.9471472389638396,2.253263418999268,4.577786320998712,0.9730450918715582,0.0,0.8581320624818851,0.0,0.925125255198773,0.0,0.9471472389638396,0.0,0.1706666666666666,0.0
deep_svdd_dataset1,5.771287609000865,0.669800840998505,0.0111731843575419,0.0104712041884816,0.0108108108108108,18712.0,189.0,177.0,2.0,0.7170407761228086,0.6101304774388833,0.6763199251377141,0.700318282132482,6.783179354000458,0.7733077058001072,0.5552534686025007,0.136186928504819,0.5337580401796755,0.0598388501208529,0.5456794692039554,0.0852654080353913,0.5517110042955253,0.1015039364517482,0.017877094972067,0.0134078212290502
deep_svdd_dataset2,7.611281096000312,1.9808354970009527,0.0269230769230769,0.0105580693815987,0.0151679306608884,65334.0,656.0,253.0,7.0,0.6899500215650392,0.5470209877217319,0.5807798513890345,0.6014595657233133,9.592870665999362,2.2703963587991893,0.6153372830382227,0.0929092629565431,0.5139272547083229,0.0225250158792301,0.5541902210417359,0.0645470096715213,0.5850481277384584,0.0758601464027167,0.0115384615384615,0.0087705801930702
deep_svdd_dataset3,13.56878961700204,4.152402688003349,0.0631578947368421,0.0136674259681093,0.0224719101123595,130916.0,1299.0,267.0,18.0,0.6662714438404752,0.6594556649996024,0.7189030080442991,0.7341551333013078,17.06076416800206,4.552452129400626,0.5991979783062013,0.2079366573597684,0.5324032659332805,0.0641010596590298,0.5883330732326354,0.0878775109282757,0.6243964206437844,0.1088845524288754,0.0196491228070175,0.0219235078621941
deep_svdd_dataset4,23.65562373000012,10.293869244000234,0.0859538784067086,0.0157631680123029,0.0266406757634827,261963.0,2560.0,436.0,41.0,0.7362034978494694,0.6554494193592002,0.7374816112070522,0.7702977854913267,31.1636207046,9.8513798942,0.6579733247308467,0.2442881820529253,0.5692175535214072,0.0504834059907425,0.6340838615758558,0.0869869878669924,0.6698507717159043,0.1116693295533622,0.0234800838574423,0.0313597684718073
deep_svdd_dataset5,114.7038242409999,20.55141395700048,0.0301318267419962,0.003025146530535,0.0054982817869415,523931.0,5273.0,515.0,16.0,0.9295687111699622,0.6917774210566014,0.8043575310276729,0.8618994336665926,64.31954968480022,18.81518014120011,0.917313062986216,0.0107134521380692,0.6390144747849986,0.0386390908798964,0.7711509720492394,0.0288714516551709,0.8383856571652917,0.0204555400147132,0.0327683615819209,0.0299807890653595
deep_svdd_dataset6,288.6351410069983,90.58049092199872,0.24355555555555555,0.008954540998071832,0.017273988147774554,3146695.0,30325.0,851.0,274.0,0.9758859525243432,0.8730839606544379,0.9330165347898423,0.9527175539693004,290.53785564639986,90.51674085900012,0.9692630776989478,0.008577879138620294,0.8634744843277128,0.005688622765819824,0.9264633852470336,0.0034456234363518436,0.9470460497168605,0.0038376683423082883,0.16568888888888889,0.08930321216901273
ecod_dataset1,0.0317695400008233,0.0433213460019032,0.0111731843575419,0.0104712041884816,0.0108108108108108,18712.0,189.0,177.0,2.0,0.4578191748300983,0.4899070274413481,0.4724925960223138,0.4642528857997482,0.0317695400008233,0.0433213460019032,0.4578191748300983,0.0,0.4899070274413481,0.0,0.4724925960223138,0.0,0.4642528857997482,0.0,0.0111731843575419,0.0
ecod_dataset2,0.071811981000792,0.1212968789986916,0.0076923076923076,0.0030165912518853,0.0043336944745395,65329.0,661.0,258.0,2.0,0.6619406203737163,0.4951940332021843,0.5265793962566201,0.5748542274219071,0.071811981000792,0.1212968789986916,0.6619406203737163,0.0,0.4951940332021843,0.0,0.5265793962566201,0.0,0.5748542274219071,0.0,0.0076923076923076,0.0
ecod_dataset3,0.1210687230013718,0.2208274220029125,0.0105263157894736,0.0022658610271903,0.0037290242386575,130894.0,1321.0,282.0,3.0,0.8038202396283035,0.527516616255966,0.5803438032403214,0.6488998586063726,0.1210687230013718,0.2208274220029125,0.8038202396283035,0.0,0.527516616255966,0.0,0.5803438032403214,0.0,0.6488998586063726,0.0,0.0105263157894736,0.0
ecod_dataset4,0.2258536769986676,0.3945660429999407,0.0062893081761006,0.0011376564277588,0.001926782273603,261889.0,2634.0,474.0,3.0,0.8481400217634731,0.5454399594525914,0.629282884774608,0.703603682151835,0.2258536769986676,0.3945660429999407,0.8481400217634731,0.0,0.5454399594525914,0.0,0.629282884774608,0.0,0.703603682151835,0.0,0.0062893081761006,0.0
ecod_dataset5,0.3925268770035472,0.8312978020003357,0.0263653483992467,0.0026460026460026,0.0048093438680865,523927.0,5277.0,517.0,14.0,0.9166406086269836,0.6315200521085472,0.7684461350749547,0.8365502129940856,0.3925268770035472,0.8312978020003357,0.9166406086269836,0.0,0.6315200521085472,0.0,0.7684461350749547,0.0,0.8365502129940856,0.0,0.0263653483992467,0.0
ecod_dataset6,2.2650295450002886,4.133041665001656,0.1706666666666666,0.0060698027314112,0.0117226852275849,3145580.0,31440.0,933.0,192.0,0.973045266458645,0.8581329813612897,0.9251257401629028,0.9471475812914608,2.2650295450002886,4.133041665001656,0.973045266458645,0.0,0.8581329813612897,0.0,0.9251257401629028,0.0,0.9471475812914608,0.0,0.1706666666666666,0.0
