,"{'hidden_activation': 'relu', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,193.92416221199528
best_classifier_inference_time,3.8685573910079256
best_classifier_recall,0.007692307692307693
best_classifier_precision,0.0030165912518853697
best_classifier_f1,0.004333694474539546
best_classifier_TN,65329
best_classifier_FP,661
best_classifier_FN,258
best_classifier_TP,2
best_classifier_auc,0.7854708172566939
best_classifier_p_auc_10,0.525892157626631
best_classifier_p_auc_20,0.5966210886653378
best_classifier_p_auc_30,0.6498763924421109
training_time_avg,198.94280851079822
inference_time_avg,3.963177227603592
auc_avg,0.7827521477613157
auc_std,0.0015482154369857205
p_auc_10_avg,0.5249096379652878
p_auc_10_std,0.0006495389921969604
p_auc_20_avg,0.5933618050131916
p_auc_20_std,0.00193102815062953
p_auc_30_avg,0.6457300079974638
p_auc_30_std,0.002252965541808191
recall_avg,0.007692307692307693
recall_std,0.0
