,"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}"
best_classifier_training_time,1.623626728999625
best_classifier_inference_time,0.23666115199966953
best_classifier_recall,0.029350104821802937
best_classifier_precision,0.005283018867924529
best_classifier_f1,0.008954269267668694
best_classifier_TN,261887
best_classifier_FP,2636
best_classifier_FN,463
best_classifier_TP,14
best_classifier_auc,0.8574289026604438
best_classifier_p_auc_10,0.5933084057287432
best_classifier_p_auc_20,0.6570671148840298
best_classifier_p_auc_30,0.7213613421014708
training_time_avg,1.4959100982001474
inference_time_avg,0.23503469019997283
auc_avg,0.8574289026604438
auc_std,0.0
p_auc_10_avg,0.5933084057287432
p_auc_10_std,0.0
p_auc_20_avg,0.6570671148840298
p_auc_20_std,0.0
p_auc_30_avg,0.7213613421014708
p_auc_30_std,0.0
recall_avg,0.029350104821802937
recall_std,0.0
