,{}
best_classifier_training_time,0.38405100899854006
best_classifier_inference_time,0.3125008179977158
best_classifier_recall,0.1928888888888889
best_classifier_precision,0.006821539718965138
best_classifier_f1,0.013177070682535827
best_classifier_TN,3145426
best_classifier_FP,31594
best_classifier_FN,908
best_classifier_TP,217
best_classifier_auc,0.97296747979763
best_classifier_p_auc_10,0.8577235778822635
best_classifier_p_auc_20,0.9249096661045281
best_classifier_p_auc_30,0.9469950584267256
training_time_avg,0.38405100899854006
inference_time_avg,0.3125008179977158
auc_avg,0.97296747979763
auc_std,0.0
p_auc_10_avg,0.8577235778822635
p_auc_10_std,0.0
p_auc_20_avg,0.9249096661045281
p_auc_20_std,0.0
p_auc_30_avg,0.9469950584267256
p_auc_30_std,0.0
recall_avg,0.1928888888888889
recall_std,0.0
