,"{'hidden_activation': 'tanh', 'hidden_neurons': [2, 1], 'use_ae': True}"
best_classifier_training_time,131.92168675200082
best_classifier_inference_time,5.601485628001683
best_classifier_recall,0.15254237288135594
best_classifier_precision,0.015291674532754389
best_classifier_f1,0.027796842827728208
best_classifier_TN,523988
best_classifier_FP,5216
best_classifier_FN,450
best_classifier_TP,81
best_classifier_auc,0.9333802719675734
best_classifier_p_auc_10,0.7085047599384953
best_classifier_p_auc_20,0.814945199909926
best_classifier_p_auc_30,0.8693730822893594
training_time_avg,131.7389370211982
inference_time_avg,5.149155120201977
auc_avg,0.9242038808924425
auc_std,0.005699292028724891
p_auc_10_avg,0.6681506707141895
p_auc_10_std,0.02403970198611352
p_auc_20_avg,0.7894552247012292
p_auc_20_std,0.015831366746457916
p_auc_30_avg,0.8513801586126324
p_auc_30_std,0.011175082409264377
recall_avg,0.09303201506591338
recall_std,0.03395266618376479
