,{}
best_classifier_training_time,0.33792727600121
best_classifier_inference_time,0.22772499699385662
best_classifier_recall,0.12617702448210924
best_classifier_precision,0.012653446647780925
best_classifier_f1,0.0230003432887058
best_classifier_TN,523976
best_classifier_FP,5228
best_classifier_FN,464
best_classifier_TP,67
best_classifier_auc,0.9282186040104776
best_classifier_p_auc_10,0.6722822745622403
best_classifier_p_auc_20,0.800607233362438
best_classifier_p_auc_30,0.8592521647264268
training_time_avg,0.33792727600121
inference_time_avg,0.22772499699385662
auc_avg,0.9282186040104776
auc_std,0.0
p_auc_10_avg,0.6722822745622403
p_auc_10_std,0.0
p_auc_20_avg,0.800607233362438
p_auc_20_std,0.0
p_auc_30_avg,0.8592521647264268
p_auc_30_std,0.0
recall_avg,0.12617702448210924
recall_std,0.0
