,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",0.4881301030072791,0.14935952700398047,0.03076923076923077,0.05517241379310345,0.03950617283950617,65853.0,137.0,252.0,8.0,0.3444991665403849,0.4924541018414384,0.4673903416429059,0.4393100250572905,0.492264224797691,0.1496252398006618,0.3577640901302062,0.029766909307030645,0.48533890233379545,0.005497526686060703,0.460851386746531,0.006709617931347404,0.4334454590935768,0.008481786741173206,0.015384615384615385,0.01002954216185023
"{'max_samples': 128, 'n_estimators': 10}",4.601446334003413,0.45639974199730204,0.03076923076923077,0.021052631578947368,0.025,65618.0,372.0,252.0,8.0,0.4080890169839253,0.4898860697702031,0.4625776839317446,0.43183478666597863,4.478215414795704,0.41234100059809864,0.3965948337160642,0.008624486405909602,0.4853492089698402,0.004709701416644855,0.45741865710231816,0.005067793983938086,0.4260389115786854,0.005428075297803728,0.02230769230769231,0.009230769230769232
"{'max_samples': 128, 'n_estimators': 50}",7.0840055879925785,1.3817072519923386,0.038461538461538464,0.02617801047120419,0.031152647975077885,65618.0,372.0,250.0,10.0,0.4206320013521862,0.493119893641105,0.46538592677212165,0.4340884068316032,6.864217326400831,1.3894743282027775,0.40535787473626544,0.012256757209079112,0.4839023960152228,0.005599185966282309,0.4555998597041424,0.005956506932088219,0.4238080393839575,0.0062684082810506225,0.02,0.011252876029482918
"{'max_samples': 128, 'n_estimators': 100}",12.511928177009395,2.67262429299808,0.023076923076923078,0.015748031496062992,0.0187207488299532,65615.0,375.0,254.0,6.0,0.4148659761968596,0.4852902200247492,0.4569800947566518,0.4251382870982097,12.792185211206379,2.6487433001981118,0.4040390735192978,0.005795724423806865,0.4811393243488943,0.0028998947727626755,0.45257687501185073,0.00322833075530081,0.4205359235406016,0.003550358511065159,0.014615384615384617,0.00565266863719195
"{'max_samples': 256, 'n_estimators': 1}",0.4711836730093637,0.14202225199551322,0.038461538461538464,0.05714285714285714,0.04597701149425288,65825.0,165.0,250.0,10.0,0.326301275251495,0.4944735884330725,0.4674932761698709,0.4372257643000108,0.4849328668031376,0.14994691819520084,0.3564286197209367,0.03928197794403479,0.4901810738999375,0.00411941228021821,0.46432297715134735,0.004467504884501102,0.43534859361808886,0.00621673895203646,0.027692307692307693,0.010146850737133015
"{'max_samples': 256, 'n_estimators': 10}",4.478417032005382,0.40261187000214704,0.038461538461538464,0.026595744680851064,0.031446540880503145,65624.0,366.0,250.0,10.0,0.40118797137095363,0.493078481404065,0.4653640703136839,0.4340729787432942,4.478400846198201,0.4059595890008495,0.41468376327415574,0.012075299026089652,0.486981311353024,0.0041193248523407715,0.4588654274114689,0.00440862753730064,0.4272373618165812,0.004669906066575576,0.026153846153846156,0.008213137116947163
"{'max_samples': 256, 'n_estimators': 50}",6.965376600008312,1.4595887169962225,0.03461538461538462,0.023195876288659795,0.02777777777777778,65611.0,379.0,251.0,9.0,0.4297930630515113,0.49114222925446316,0.4632737833885735,0.43184333427730376,7.051096418406814,1.4388921892023063,0.42243469873057693,0.005967640142462278,0.4872780914053285,0.0032638939468815544,0.4591666287559654,0.003555045773300108,0.42751834064366123,0.003827739202746799,0.026923076923076928,0.006435846357954428
"{'max_samples': 256, 'n_estimators': 100}",12.930789785001252,2.677523601989378,0.03461538461538462,0.023255813953488372,0.027820710973724884,65612.0,378.0,251.0,9.0,0.42597077645797143,0.4913219557462063,0.4637136686963888,0.4325662053821465,13.071796397602885,2.729802906799159,0.42406573839859185,0.0028128466803324587,0.4880800451734496,0.002637852206753861,0.460086223997023,0.0028594288371624546,0.4285515883547852,0.0030686261880282805,0.02846153846153846,0.005217176910096361
"{'max_samples': 512, 'n_estimators': 1}",0.49164010499589494,0.14841945900479914,0.05,0.04924242424242424,0.04961832061068703,65739.0,251.0,247.0,13.0,0.3326802720691946,0.5018804712978947,0.4770302321153799,0.4491059442045021,0.48314852539842834,0.14817305240212592,0.38404021005513655,0.03619566735579731,0.49566613841776863,0.006801245178785454,0.4706061893543091,0.006967011719816065,0.4424816136218074,0.00711478069726667,0.0376923076923077,0.013630803958976425
"{'max_samples': 512, 'n_estimators': 10}",4.460288352001953,0.4011970270148595,0.046153846153846156,0.032,0.03779527559055118,65627.0,363.0,248.0,12.0,0.4287894144800494,0.49726939979250934,0.4697126960443372,0.438650892532051,4.4743033819991975,0.4021154307993129,0.4232460104677864,0.012168730301641215,0.4929329177520446,0.0028651547052485483,0.4652116310932984,0.002962822844080418,0.43397947163971134,0.003060557113865914,0.03769230769230769,0.00565266863719195
"{'max_samples': 512, 'n_estimators': 50}",7.153577598011907,1.4658630059893767,0.046153846153846156,0.030927835051546393,0.03703703703703704,65614.0,376.0,248.0,12.0,0.437161283178104,0.4970747622784215,0.46960997068967975,0.43857838051699866,7.298166475804464,1.4857522761943982,0.4355073845687575,0.0021543452161622736,0.4951735828784888,0.0021184108260795045,0.4676072145862366,0.0022949282214400446,0.43649300878957015,0.0024586726229657825,0.04230769230769231,0.004213250442347432
"{'max_samples': 512, 'n_estimators': 100}",13.242379903007532,2.7378163849971315,0.04230769230769231,0.028277634961439587,0.03389830508474576,65612.0,378.0,249.0,11.0,0.4353238544301584,0.49515078042127597,0.4675261597522546,0.4363533073364331,13.230277868403936,2.777768619597191,0.43446481984449853,0.002504443780456701,0.49328654703588093,0.0016880460834865288,0.46561190395811225,0.0017788795455683049,0.4344128768621401,0.0018577097342835345,0.03846153846153846,0.0034401045807689076
"{'max_samples': 1024, 'n_estimators': 1}",0.495142476996989,0.15085509400159935,0.046153846153846156,0.05042016806722689,0.048192771084337345,65764.0,226.0,248.0,12.0,0.3455031356732372,0.49900375635321237,0.473060612104064,0.4439027110804033,0.48635215300382695,0.14992100880263023,0.38040281161481343,0.0359242986864783,0.49187955600447664,0.005888146948821095,0.46592227404938785,0.005989208399893885,0.43681428668016864,0.006297941203832267,0.031538461538461536,0.01225952111577633
"{'max_samples': 1024, 'n_estimators': 10}",4.486242544993729,0.411343952997413,0.046153846153846156,0.0316622691292876,0.03755868544600939,65623.0,367.0,248.0,12.0,0.4416944000839288,0.4972640315395597,0.4697098627997249,0.4386488925946776,4.53194550219705,0.42827221879342686,0.43051359180295384,0.0058864930466245935,0.49104673239901775,0.004112167738763363,0.46307871155180125,0.004395687837847221,0.4316372638170872,0.004648849322318531,0.033846153846153845,0.008213137116947163
"{'max_samples': 1024, 'n_estimators': 50}",7.47957011600738,1.5061992449991521,0.04230769230769231,0.028277634961439587,0.03389830508474576,65612.0,378.0,249.0,11.0,0.4415446979146025,0.4953389760318242,0.4676254852133773,0.4364234194266374,7.397122908600432,1.5065130979994137,0.4390521057969156,0.003241976836916526,0.4933531825764302,0.00212733239998394,0.4655090514879877,0.0022930302025702546,0.4341753183957439,0.0024447197224582453,0.038461538461538464,0.004213250442347432
