,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",0.4920987490031621,0.14905525300400768,0.0038461538461538464,0.0014705882352941176,0.002127659574468085,65311.0,679.0,259.0,1.0,0.7618505134810635,0.5261863378882704,0.5706405380205023,0.611897212016099,0.4920987490031621,0.14905525300400768,0.7618505134810635,0.0,0.5261863378882704,0.0,0.5706405380205023,0.0,0.611897212016099,0.0,0.0038461538461538464,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",0.679722325999137,0.21072041899969918,0.0,0.0,0.0,65411.0,579.0,260.0,0.0,0.7901599018499307,0.5323291530491984,0.6148280023852019,0.6639511517010782,0.679722325999137,0.21072041899969918,0.7901599018499307,0.0,0.5323291530491984,0.0,0.6148280023852019,0.0,0.6639511517010782,0.0,0.0,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",0.878142712997942,0.23660685700360773,0.0,0.0,0.0,65356.0,634.0,260.0,0.0,0.7808651660508003,0.5314876269949707,0.6102351528268334,0.6483152984695109,0.878142712997942,0.23660685700360773,0.7808651660508003,0.0,0.5314876269949707,0.0,0.6102351528268334,0.0,0.6483152984695109,0.0,0.0,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",1.0765716960004283,0.2872835920052239,0.0038461538461538464,0.001557632398753894,0.0022172949002217295,65349.0,641.0,259.0,1.0,0.7908238427733806,0.5397028319221474,0.6246456425796658,0.6700778741328557,1.0765716960004283,0.2872835920052239,0.7908238427733806,0.0,0.5397028319221474,0.0,0.6246456425796658,0.0,0.6700778741328557,0.0,0.0038461538461538464,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",0.4837514119990374,0.16191130099923612,0.019230769230769232,0.009174311926605505,0.012422360248447204,65450.0,540.0,255.0,5.0,0.7755076235327032,0.5612480169815209,0.6148125539547904,0.6527009552809994,0.4837514119990374,0.16191130099923612,0.7755076235327032,0.0,0.5612480169815209,0.0,0.6148125539547904,0.0,0.6527009552809994,0.0,0.019230769230769232,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",0.6793463250023706,0.20084731799852307,0.0038461538461538464,0.0014619883040935672,0.00211864406779661,65307.0,683.0,259.0,1.0,0.7938156422301746,0.5555106496935801,0.6194227427091425,0.662874408532486,0.6793463250023706,0.20084731799852307,0.7938156422301746,0.0,0.5555106496935801,0.0,0.6194227427091425,0.0,0.662874408532486,0.0,0.0038461538461538464,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",0.8784746699975585,0.25110674900224694,0.0038461538461538464,0.0014577259475218659,0.0021141649048625794,65305.0,685.0,259.0,1.0,0.80270719922599,0.5587592096213817,0.6457263731676467,0.6903606232216272,0.8784746699975585,0.25110674900224694,0.80270719922599,0.0,0.5587592096213817,0.0,0.6457263731676467,0.0,0.6903606232216272,0.0,0.0038461538461538464,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",1.0703344660041694,0.2914973409997401,0.007692307692307693,0.003401360544217687,0.0047169811320754715,65404.0,586.0,258.0,2.0,0.8127240432699593,0.562302870082757,0.6532807191713844,0.7018977348595026,1.0703344660041694,0.2914973409997401,0.8127240432699593,0.0,0.562302870082757,0.0,0.6532807191713844,0.0,0.7018977348595026,0.0,0.007692307692307693,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",0.4791601119950428,0.1578292419999343,0.011538461538461539,0.004665629860031105,0.0066445182724252485,65350.0,640.0,257.0,3.0,0.7776067469430099,0.5505013027983016,0.6123963518170974,0.6555352930311746,0.4791601119950428,0.1578292419999343,0.7776067469430099,0.0,0.5505013027983016,0.0,0.6123963518170974,0.0,0.6555352930311746,0.0,0.011538461538461539,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",0.6876537360012662,0.20547057099793165,0.0038461538461538464,0.0016474464579901153,0.002306805074971165,65384.0,606.0,259.0,1.0,0.8002538263373239,0.5703888394327935,0.6442283407353873,0.6837070473450317,0.6876537360012662,0.20547057099793165,0.8002538263373239,0.0,0.5703888394327935,0.0,0.6442283407353873,0.0,0.6837070473450317,0.0,0.0038461538461538464,0.0
"{'n_bins': 10, 'n_random_cuts': 75}",0.8796181780035113,0.2521173129962335,0.007692307692307693,0.0032414910858995136,0.004561003420752566,65375.0,615.0,258.0,2.0,0.8104674367911222,0.5596169048685309,0.6389806050644814,0.6908905938259762,0.8796181780035113,0.2521173129962335,0.8104674367911222,0.0,0.5596169048685309,0.0,0.6389806050644814,0.0,0.6908905938259762,0.0,0.007692307692307693,0.0
"{'n_bins': 10, 'n_random_cuts': 100}",1.090456781003013,0.2929285369991703,0.007692307692307693,0.0030165912518853697,0.004333694474539546,65329.0,661.0,258.0,2.0,0.8001151106811056,0.568163161759879,0.6409244537180588,0.6781088384289811,1.090456781003013,0.2929285369991703,0.8001151106811056,0.0,0.568163161759879,0.0,0.6409244537180588,0.0,0.6781088384289811,0.0,0.007692307692307693,0.0
