,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",0.3396138099996051,0.11627952399987862,0.11153846153846154,0.04380664652567976,0.06290672451193058,65357.0,633.0,231.0,29.0,0.8266297341088977,0.5634924749363939,0.6414656034390085,0.6999617954820615,0.3395018143998641,0.11674450619977961,0.8266297341088977,0.0,0.5634924749363939,0.0,0.6414656034390085,0.0,0.6999617954820615,0.0,0.11153846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",0.3448461340000222,0.11747611700036487,0.11153846153846154,0.04380664652567976,0.06290672451193058,65357.0,633.0,231.0,29.0,0.8266297341088977,0.5634924749363939,0.6414656034390085,0.6999617954820615,0.33948027139995246,0.11604847160006102,0.8266297341088977,0.0,0.5634924749363939,0.0,0.6414656034390085,0.0,0.6999617954820615,0.0,0.11153846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",0.3481076589996519,0.11831108700016557,0.11538461538461539,0.0453857791225416,0.06514657980456026,65359.0,631.0,230.0,30.0,0.8282386025854733,0.56416197276854,0.6408025432498837,0.7001575607803824,0.34358957839981485,0.11785168940020867,0.8282386025854734,1.1102230246251565e-16,0.56416197276854,0.0,0.6408025432498837,0.0,0.7001575607803824,0.0,0.11538461538461539,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': False}",0.34037665999983346,0.11733227599950169,0.11538461538461539,0.0453857791225416,0.06514657980456026,65359.0,631.0,230.0,30.0,0.8282386025854733,0.56416197276854,0.6408025432498837,0.7001575607803824,0.33505277260007915,0.11441522240002086,0.8282386025854734,1.1102230246251565e-16,0.56416197276854,0.0,0.6408025432498837,0.0,0.7001575607803824,0.0,0.11538461538461539,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': True}",0.39538302900018607,0.1325690959995427,0.11153846153846154,0.04380664652567976,0.06290672451193058,65357.0,633.0,231.0,29.0,0.8266297341088977,0.5634924749363939,0.6414656034390085,0.6999617954820615,0.39298699400003445,0.13143994239983386,0.8266297341088977,0.0,0.5634924749363939,0.0,0.6414656034390085,0.0,0.6999617954820615,0.0,0.11153846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': False}",0.39410583900007623,0.13669683399996302,0.11153846153846154,0.04380664652567976,0.06290672451193058,65357.0,633.0,231.0,29.0,0.8266297341088977,0.5634924749363939,0.6414656034390085,0.6999617954820615,0.39280123340004136,0.13217866240024706,0.8266297341088977,0.0,0.5634924749363939,0.0,0.6414656034390085,0.0,0.6999617954820615,0.0,0.11153846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': True}",0.38681083300002683,0.12960570200016264,0.11538461538461539,0.0453857791225416,0.06514657980456026,65359.0,631.0,230.0,30.0,0.8282386025854733,0.56416197276854,0.6408025432498837,0.7001575607803824,0.3924504227998568,0.1301487352000322,0.8282386025854734,1.1102230246251565e-16,0.56416197276854,0.0,0.6408025432498837,0.0,0.7001575607803824,0.0,0.11538461538461539,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': False}",0.3939887640000279,0.1314926629999036,0.11538461538461539,0.0453857791225416,0.06514657980456026,65359.0,631.0,230.0,30.0,0.8282386025854733,0.56416197276854,0.6408025432498837,0.7001575607803824,0.3933518965998474,0.13169050119975054,0.8282386025854734,1.1102230246251565e-16,0.56416197276854,0.0,0.6408025432498837,0.0,0.7001575607803824,0.0,0.11538461538461539,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}",0.5192215180001085,0.18022786800031554,0.11153846153846154,0.04380664652567976,0.06290672451193058,65357.0,633.0,231.0,29.0,0.8266297341088977,0.5634924749363939,0.6414656034390085,0.6999617954820615,0.6496276214000772,0.19837292500003514,0.8266297341088977,0.0,0.5634924749363939,0.0,0.6414656034390085,0.0,0.6999617954820615,0.0,0.11153846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': False}",0.5022699420001118,0.16000278900003195,0.11153846153846154,0.04380664652567976,0.06290672451193058,65357.0,633.0,231.0,29.0,0.8266297341088977,0.5634924749363939,0.6414656034390085,0.6999617954820615,0.5105648093999434,0.1627076398001009,0.8266297341088977,0.0,0.5634924749363939,0.0,0.6414656034390085,0.0,0.6999617954820615,0.0,0.11153846153846154,0.0
