,"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': False, 'whiten': True}"
best_classifier_training_time,0.4965825030008091
best_classifier_inference_time,0.17501554200043756
best_classifier_recall,0.07368421052631578
best_classifier_precision,0.01581325301204819
best_classifier_f1,0.026038437693738373
best_classifier_TN,130908
best_classifier_FP,1307
best_classifier_FN,264
best_classifier_TP,21
best_classifier_auc,0.8720264640726727
best_classifier_p_auc_10,0.6279083751251713
best_classifier_p_auc_20,0.7070569017517468
best_classifier_p_auc_30,0.7587271235423128
training_time_avg,0.37478983240011987
inference_time_avg,0.13063334919984299
auc_avg,0.8720264640726727
auc_std,0.0
p_auc_10_avg,0.6279083751251713
p_auc_10_std,0.0
p_auc_20_avg,0.7070569017517468
p_auc_20_std,0.0
p_auc_30_avg,0.7587271235423128
p_auc_30_std,0.0
recall_avg,0.07368421052631578
recall_std,0.0
