,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
auto_encoder_dataset1,157.17701062099331,2.886228783008846,0.0111731843575419,0.0105263157894736,0.010840108401084,18713.0,188.0,177.0,2.0,0.6641197784752603,0.4847493091449853,0.5024892189565868,0.5376476315362908,160.20101678340035,2.9939192816040303,0.6692328655130126,0.0096789918382646,0.4844512177621022,0.0003260940614849,0.5030945652953178,0.0039218811243828,0.5409123724612235,0.0076350655269683,0.0111731843575419,0.0
auto_encoder_dataset2,193.92416221199528,3.8685573910079256,0.0076923076923076,0.0030165912518853,0.0043336944745395,65329.0,661.0,258.0,2.0,0.7854708172566939,0.525892157626631,0.5966210886653378,0.6498763924421109,198.94280851079824,3.963177227603592,0.7827521477613157,0.0015482154369857,0.5249096379652878,0.0006495389921969,0.5933618050131916,0.0019310281506295,0.6457300079974638,0.0022529655418081,0.0076923076923076,0.0
auto_encoder_dataset3,177.41914970603102,4.400783382021473,0.0526315789473684,0.0113207547169811,0.0186335403726708,130905.0,1310.0,270.0,15.0,0.8426070243111465,0.5918431355459288,0.665810840766107,0.7163486867879364,171.2851727612142,4.764764367806492,0.8391083581964782,0.0033912319929992,0.585487863946385,0.0049096331823361,0.6578237466752386,0.0059670363649795,0.7093687649848345,0.005296507982511,0.0533333333333333,0.0014035087719298
auto_encoder_dataset4,201.77114718000664,6.360674036011915,0.0314465408805031,0.0056646525679758,0.0096,261890.0,2633.0,462.0,15.0,0.8515453325261209,0.5872734723484495,0.6485030882502877,0.7108909371613823,198.266358169014,6.238544775004266,0.850966787882442,0.0004825860427917,0.5865237322003887,0.0004856275379803,0.6478785248261775,0.0010274515208745,0.7097342212354777,0.0009415889992997,0.0280922431865828,0.0016771488469601
auto_encoder_dataset5,173.31894924800145,5.669218861992704,0.064030131826742,0.0064102564102564,0.0116538131962296,523934.0,5270.0,497.0,34.0,0.9240780517877176,0.6632361495992445,0.7891056994103274,0.8511334348778781,183.16958991980064,6.333431343003758,0.9221443690912482,0.0012826524914818,0.657860220090577,0.0029733781815506,0.7837343585868008,0.0035629235874495,0.8473419001789182,0.0025150048852585,0.0760828625235404,0.0102873825112976
auto_encoder_dataset6,150.15746949900313,8.451928354004849,0.1884444444444444,0.0066702325142371,0.0128844050079008,3145449.0,31571.0,913.0,212.0,0.9754784062493224,0.8709389802595916,0.9318844618036736,0.9519184436261224,148.8136928900013,8.095540344000346,0.9750686799579482,0.0003746709618927,0.8687825260944633,0.0019719524310144,0.9307463332165224,0.0010407526719243,0.9511150587410746,0.0007346489448876,0.1829333333333333,0.0081545564026166
cblof_dataset1,0.8404775889999883,0.1729422150000346,0.0111731843575419,0.0105263157894736,0.010840108401084,18713.0,188.0,177.0,2.0,0.6692381857954961,0.4883311659923312,0.5101371250264085,0.5456086402871182,0.8143769315998497,0.1684771858000431,0.6706078629637107,0.0020793350360454,0.4881915941372415,9.5686057211889e-05,0.5084541423341741,0.0011246714791695,0.5451438631912194,0.0010511575647545,0.0111731843575419,0.0
cblof_dataset2,1.2166931519998343,0.2107984099999384,0.0076923076923076,0.0030165912518853,0.0043336944745395,65329.0,661.0,258.0,2.0,0.7887938149136815,0.5324905073949985,0.6010359313700729,0.6505243721510892,1.2505343729998686,0.2167425331999766,0.7899844964854814,0.001027633806266,0.5312733557347973,0.0013660203135082,0.5997741499294764,0.0010653795166591,0.6506720475267402,0.0002105033433568,0.0076923076923076,0.0
cblof_dataset3,1.2854212920008194,0.2054338249995453,0.0736842105263157,0.0158490566037735,0.0260869565217391,130911.0,1304.0,264.0,21.0,0.8551883130281552,0.6110143216812735,0.6805494093404335,0.7320493388554499,1.1925783111999408,0.1998204047999934,0.8554405019469218,0.0003088907909869,0.610856963054629,0.0001927590361664,0.680565936853841,2.026345324910018e-05,0.7325114813293194,0.0005660275818796,0.0736842105263157,0.0
cblof_dataset4,1.623626728999625,0.2366611519996695,0.0293501048218029,0.0052830188679245,0.0089542692676686,261887.0,2636.0,463.0,14.0,0.8574289026604438,0.5933084057287432,0.6570671148840298,0.7213613421014708,1.4959100982001474,0.2350346901999728,0.8574289026604438,0.0,0.5933084057287432,0.0,0.6570671148840298,0.0,0.7213613421014708,0.0,0.0293501048218029,0.0
