,"{'alpha': 0.5, 'beta': 16, 'n_clusters': 4, 'use_weights': False}"
best_classifier_training_time,11.190857954999956
best_classifier_inference_time,1.6046044440336118
best_classifier_recall,0.03766478342749529
best_classifier_precision,0.003775009437523594
best_classifier_f1,0.006862240521530279
best_classifier_TN,523926
best_classifier_FP,5278
best_classifier_FN,511
best_classifier_TP,20
best_classifier_auc,0.9166528894456858
best_classifier_p_auc_10,0.6959748130602947
best_classifier_p_auc_20,0.8015264818427927
best_classifier_p_auc_30,0.8453315415798802
training_time_avg,12.111898076799843
inference_time_avg,1.6668033444111643
auc_avg,0.9166100442990588
auc_std,0.00034195034530841163
p_auc_10_avg,0.6951865301785365
p_auc_10_std,0.000682092056124522
p_auc_20_avg,0.8007288104625264
p_auc_20_std,0.000875358088128422
p_auc_30_avg,0.8450771990359576
p_auc_30_std,0.0005937273780715859
recall_avg,0.03766478342749529
recall_std,0.0
