,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.5, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",31.96556071100076,4.680532325997774,0.1431111111111111,0.005064485687323,0.0097827738113322,3145391.0,31629.0,964.0,161.0,0.8705166062676485,0.7804551265647779,0.8200739927804075,0.8348273989208095,31.36492242340039,4.621317415199224,0.8702438336974062,0.0002256816159128,0.7802686547152705,0.0002081433627363,0.8198894620636421,0.0002156811545478,0.8346223126373108,0.000233295843884,0.1431111111111111,0.0
"{'alpha': 0.5, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",30.7168680300008,4.755835343998342,0.16,0.0056637613668544,0.0109402540570108,3145419.0,31601.0,945.0,180.0,0.9182675075664896,0.8047098341927028,0.8505706593903395,0.868876025818799,31.048368491199607,4.393616939998765,0.918328558936082,0.0001134156175319,0.8046823458564154,1.925148861378201e-05,0.8505717990560454,3.423431053804521e-05,0.8688817865782308,2.424389454525472e-05,0.16,0.0
"{'alpha': 0.5, 'beta': 2, 'n_clusters': 4, 'use_weights': True}",45.40333262800414,5.145936756002357,0.2906666666666667,0.0102768785945504,0.019851869839728,3145528.0,31492.0,798.0,327.0,0.873091704525345,0.7522143215527913,0.8035293489954987,0.8284307612692888,43.99269448959849,4.741259976798483,0.8722001724886844,0.0007306924651331,0.7497980051996941,0.0015170074911045,0.8013047934274302,0.0014902941573313,0.8263095513699147,0.0012816214152628,0.2860444444444444,0.0024114951051112
"{'alpha': 0.5, 'beta': 2, 'n_clusters': 4, 'use_weights': False}",41.54241589300045,4.710677159001534,0.1573333333333333,0.0055693653440735,0.010757916489394,3145416.0,31604.0,948.0,177.0,0.9679239270343488,0.8329239040844522,0.9108997973176354,0.9371057392830368,41.87916256540011,4.556730513202092,0.967909835897931,0.000117781893522,0.8327263650393479,0.0002476008696287,0.9108606552720304,0.0003271719264498,0.937078109603786,0.0002309448892586,0.1573333333333333,0.0
"{'alpha': 0.5, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",33.890618736000306,4.451029009000649,0.1431111111111111,0.005064485687323,0.0097827738113322,3145391.0,31629.0,964.0,161.0,0.8705166062676485,0.7804551265647779,0.8200739927804075,0.8348273989208095,32.23807148519982,4.425086867597929,0.8702438336974062,0.0002256816159128,0.7802686547152705,0.0002081433627363,0.8198894620636421,0.0002156811545478,0.8346223126373108,0.000233295843884,0.1431111111111111,0.0
"{'alpha': 0.5, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",29.456716554988816,3.778616376009268,0.16,0.0056637613668544,0.0109402540570108,3145419.0,31601.0,945.0,180.0,0.9182675075664896,0.8047098341927028,0.8505706593903395,0.868876025818799,31.29859200039773,4.02173034120442,0.918328558936082,0.0001134156175319,0.8046823458564154,1.925148861378201e-05,0.8505717990560454,3.423431053804521e-05,0.8688817865782308,2.424389454525472e-05,0.16,0.0
"{'alpha': 0.5, 'beta': 4, 'n_clusters': 4, 'use_weights': True}",48.55258551999941,5.379203317994325,0.2906666666666667,0.0102768785945504,0.019851869839728,3145528.0,31492.0,798.0,327.0,0.873091704525345,0.7522143215527913,0.8035293489954987,0.8284307612692888,45.896069354797326,4.675259280594401,0.8722001724886844,0.0007306924651331,0.7497980051996941,0.0015170074911045,0.8013047934274302,0.0014902941573313,0.8263095513699147,0.0012816214152628,0.2860444444444444,0.0024114951051112
"{'alpha': 0.5, 'beta': 4, 'n_clusters': 4, 'use_weights': False}",44.38213196099241,4.686586194993652,0.1573333333333333,0.0055693653440735,0.010757916489394,3145416.0,31604.0,948.0,177.0,0.9679239270343488,0.8329239040844522,0.9108997973176354,0.9371057392830368,42.76767979919824,4.503684889197939,0.967909835897931,0.000117781893522,0.8327263650393479,0.0002476008696287,0.9108606552720304,0.0003271719264498,0.937078109603786,0.0002309448892586,0.1573333333333333,0.0
"{'alpha': 0.5, 'beta': 8, 'n_clusters': 2, 'use_weights': True}",30.473148401998515,3.943583149000915,0.1431111111111111,0.005064485687323,0.0097827738113322,3145391.0,31629.0,964.0,161.0,0.8705166062676485,0.7804551265647779,0.8200739927804075,0.8348273989208095,31.125633368402305,4.230281494001792,0.8702438336974062,0.0002256816159128,0.7802686547152705,0.0002081433627363,0.8198894620636421,0.0002156811545478,0.8346223126373108,0.000233295843884,0.1431111111111111,0.0
"{'alpha': 0.5, 'beta': 8, 'n_clusters': 2, 'use_weights': False}",31.164476621991525,4.260598498001855,0.16,0.0056637613668544,0.0109402540570108,3145419.0,31601.0,945.0,180.0,0.9182675075664896,0.8047098341927028,0.8505706593903395,0.868876025818799,31.518296214802284,4.351777078401028,0.918328558936082,0.0001134156175319,0.8046823458564154,1.925148861378201e-05,0.8505717990560454,3.423431053804521e-05,0.8688817865782308,2.424389454525472e-05,0.16,0.0
