,{}
best_classifier_training_time,3.509258074997433
best_classifier_inference_time,3.4633915960016566
best_classifier_recall,0.4097777777777778
best_classifier_precision,0.01450689156019888
best_classifier_f1,0.028021760933653467
best_classifier_TN,3145703
best_classifier_FP,31317
best_classifier_FN,664
best_classifier_TP,461
best_classifier_auc,0.9872110699124756
best_classifier_p_auc_10,0.9326898416446086
best_classifier_p_auc_20,0.9644751942013212
best_classifier_p_auc_30,0.9749236664950505
training_time_avg,3.509258074997433
inference_time_avg,3.4633915960016566
auc_avg,0.9872110699124756
auc_std,0.0
p_auc_10_avg,0.9326898416446086
p_auc_10_std,0.0
p_auc_20_avg,0.9644751942013212
p_auc_20_std,0.0
p_auc_30_avg,0.9749236664950505
p_auc_30_std,0.0
recall_avg,0.4097777777777778
recall_std,0.0
