,"{'hidden_activation': 'tanh', 'hidden_neurons': [64, 32], 'use_ae': False}"
best_classifier_training_time,724.1793546980098
best_classifier_inference_time,14.179184874990824
best_classifier_recall,0.057692307692307696
best_classifier_precision,0.02262443438914027
best_classifier_f1,0.032502708559046585
best_classifier_TN,65342
best_classifier_FP,648
best_classifier_FN,245
best_classifier_TP,15
best_classifier_auc,0.8716957988972688
best_classifier_p_auc_10,0.7003091500184361
best_classifier_p_auc_20,0.7877244091632636
best_classifier_p_auc_30,0.829197348563028
training_time_avg,724.1793546980098
inference_time_avg,14.179184874990824
auc_avg,0.8716957988972688
auc_std,0.0
p_auc_10_avg,0.7003091500184361
p_auc_10_std,0.0
p_auc_20_avg,0.7877244091632636
p_auc_20_std,0.0
p_auc_30_avg,0.829197348563028
p_auc_30_std,0.0
recall_avg,0.057692307692307696
recall_std,0.0
