,{}
best_classifier_training_time,1.95017896400077
best_classifier_inference_time,0.8784720960001096
best_classifier_recall,0.34615384615384615
best_classifier_precision,0.13452914798206278
best_classifier_f1,0.193756727664155
best_classifier_TN,65411
best_classifier_FP,579
best_classifier_FN,170
best_classifier_TP,90
best_classifier_auc,0.955893462878991
best_classifier_p_auc_10,0.8274112811841814
best_classifier_p_auc_20,0.8870684887505618
best_classifier_p_auc_30,0.9152807672079755
training_time_avg,1.95017896400077
inference_time_avg,0.8784720960001096
auc_avg,0.955893462878991
auc_std,0.0
p_auc_10_avg,0.8274112811841814
p_auc_10_std,0.0
p_auc_20_avg,0.8870684887505618
p_auc_20_std,0.0
p_auc_30_avg,0.9152807672079755
p_auc_30_std,0.0
recall_avg,0.34615384615384615
recall_std,0.0
