,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",2.5494718879994025,0.753654359000052,0.1452513966480447,0.1511627906976744,0.1481481481481481,18755.0,146.0,153.0,26.0,0.7927615487815224,0.7000155612504757,0.7281625475036364,0.743023633256956,2.544761863599592,0.7526448134000929,0.7945167986441556,0.008407350579271,0.6930196074802181,0.0061372072930944,0.7262378347376519,0.0098429460631406,0.7498102461268735,0.0100260251123988,0.1608938547486033,0.0216079101740935
"{'max_samples': 128, 'n_estimators': 10}",30.60802267899976,1.580302212999641,0.1508379888268156,0.1428571428571428,0.1467391304347826,18739.0,162.0,152.0,27.0,0.8669576171518814,0.7189005415347531,0.7693129620373871,0.8012020233602244,30.67138103480006,1.6081171815996411,0.8585769603984774,0.009155524437536,0.7074174740571282,0.0104793828994015,0.759440324017026,0.0116004000033884,0.7894009529414118,0.011849919294403,0.1318435754189944,0.0135006100263626
"{'max_samples': 128, 'n_estimators': 50}",37.74386236099974,5.166441740001233,0.1229050279329608,0.1157894736842105,0.1192411924119241,18733.0,168.0,157.0,22.0,0.8773807894648948,0.7217392700363977,0.7766044584426988,0.8088780086987082,38.03493417019977,5.233707561600022,0.8729416048750341,0.0022488059461902,0.7152873852477682,0.0042600897690283,0.7708322803607585,0.0033911687088705,0.803689191670531,0.0033659285462647,0.1128491620111731,0.010832804150651
"{'max_samples': 128, 'n_estimators': 100}",73.75201032500172,9.636669579000907,0.1173184357541899,0.1105263157894736,0.1138211382113821,18732.0,169.0,158.0,21.0,0.8778924232970441,0.7236292148285108,0.7777550516328489,0.8107490326605012,73.7003089678,9.679912878399865,0.8745099354797521,0.0022791182847439,0.7156504400799217,0.0041951555943135,0.7720246640414028,0.0029422472126381,0.805225849207929,0.0030777529408677,0.1117318435754189,0.0093481567210511
"{'max_samples': 256, 'n_estimators': 1}",2.5233118699995885,0.7484428339998885,0.1452513966480447,0.1511627906976744,0.1481481481481481,18755.0,146.0,153.0,26.0,0.7927615487815224,0.7000155612504757,0.7281625475036364,0.743023633256956,2.621703716600405,0.7716457753999293,0.7945167986441556,0.008407350579271,0.6930196074802181,0.0061372072930944,0.7262378347376519,0.0098429460631406,0.7498102461268735,0.0100260251123988,0.1608938547486033,0.0216079101740935
"{'max_samples': 256, 'n_estimators': 10}",30.775360699000885,1.6314374129985936,0.1508379888268156,0.1428571428571428,0.1467391304347826,18739.0,162.0,152.0,27.0,0.8669576171518814,0.7189005415347531,0.7693129620373871,0.8012020233602244,30.634763986199594,1.5890513014001044,0.8585769603984774,0.009155524437536,0.7074174740571282,0.0104793828994015,0.759440324017026,0.0116004000033884,0.7894009529414118,0.011849919294403,0.1318435754189944,0.0135006100263626
"{'max_samples': 256, 'n_estimators': 50}",37.93180311799847,5.139528356001165,0.1229050279329608,0.1157894736842105,0.1192411924119241,18733.0,168.0,157.0,22.0,0.8773807894648948,0.7217392700363977,0.7766044584426988,0.8088780086987082,38.02371231059988,5.217191647400614,0.8729416048750341,0.0022488059461902,0.7152873852477682,0.0042600897690283,0.7708322803607585,0.0033911687088705,0.803689191670531,0.0033659285462647,0.1128491620111731,0.010832804150651
"{'max_samples': 256, 'n_estimators': 100}",73.82591334700373,9.664919896997615,0.1173184357541899,0.1105263157894736,0.1138211382113821,18732.0,169.0,158.0,21.0,0.8778924232970441,0.7236292148285108,0.7777550516328489,0.8107490326605012,73.70686860939955,9.664440766797224,0.8745099354797521,0.0022791182847439,0.7156504400799217,0.0041951555943135,0.7720246640414028,0.0029422472126381,0.805225849207929,0.0030777529408677,0.1117318435754189,0.0093481567210511
"{'max_samples': 512, 'n_estimators': 1}",2.6151110209966646,0.7688273969929469,0.1452513966480447,0.1511627906976744,0.1481481481481481,18755.0,146.0,153.0,26.0,0.7927615487815224,0.7000155612504757,0.7281625475036364,0.743023633256956,2.6736773599978734,0.7874660309978025,0.7945167986441556,0.008407350579271,0.6930196074802181,0.0061372072930944,0.7262378347376519,0.0098429460631406,0.7498102461268735,0.0100260251123988,0.1608938547486033,0.0216079101740935
"{'max_samples': 512, 'n_estimators': 10}",30.652773762999004,1.601092952000272,0.1508379888268156,0.1428571428571428,0.1467391304347826,18739.0,162.0,152.0,27.0,0.8669576171518814,0.7189005415347531,0.7693129620373871,0.8012020233602244,30.70172372620073,1.6222182882003835,0.8585769603984774,0.009155524437536,0.7074174740571282,0.0104793828994015,0.759440324017026,0.0116004000033884,0.7894009529414118,0.011849919294403,0.1318435754189944,0.0135006100263626
