,"{'n_bins': 20, 'n_random_cuts': 75}"
best_classifier_training_time,5.797165168001811
best_classifier_inference_time,1.2532345840068047
best_classifier_recall,0.056140350877192984
best_classifier_precision,0.014010507880910683
best_classifier_f1,0.02242466713384723
best_classifier_TN,131089
best_classifier_FP,1126
best_classifier_FN,269
best_classifier_TP,16
best_classifier_auc,0.833995572071274
best_classifier_p_auc_10,0.6022948472655937
best_classifier_p_auc_20,0.6817051557954035
best_classifier_p_auc_30,0.7125410016346991
training_time_avg,5.797165168001811
inference_time_avg,1.2532345840068047
auc_avg,0.833995572071274
auc_std,0.0
p_auc_10_avg,0.6022948472655937
p_auc_10_std,0.0
p_auc_20_avg,0.6817051557954035
p_auc_20_std,0.0
p_auc_30_avg,0.7125410016346991
p_auc_30_std,0.0
recall_avg,0.056140350877192984
recall_std,0.0
