,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",3.1874469309968845,0.9069658890011851,0.03773584905660377,0.006787330316742082,0.011505273250239693,261889.0,2634.0,459.0,18.0,0.8585742259804844,0.5589773583356464,0.640858835339243,0.7242464645254286,3.1874469309968845,0.9069658890011851,0.8585742259804844,0.0,0.5589773583356464,0.0,0.640858835339243,0.0,0.7242464645254286,0.0,0.03773584905660377,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",5.029507522999211,1.2843252680004298,0.04821802935010482,0.0092110532639167,0.01546738399462004,262049.0,2474.0,454.0,23.0,0.8650273550022254,0.5691582649780975,0.6516997277588485,0.7361321154317542,5.029507522999211,1.2843252680004298,0.8650273550022254,0.0,0.5691582649780975,0.0,0.6516997277588485,0.0,0.7361321154317542,0.0,0.04821802935010482,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",5.9237204849982845,1.4139081270000133,0.0440251572327044,0.007641921397379912,0.013023255813953489,261796.0,2727.0,456.0,21.0,0.8668904411628283,0.5828024806842353,0.6550453285313069,0.7399214995283874,5.9237204849982845,1.4139081270000133,0.8668904411628283,0.0,0.5828024806842353,0.0,0.6550453285313069,0.0,0.7399214995283874,0.0,0.0440251572327044,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",7.260846812996078,1.6584520860005796,0.0440251572327044,0.007669831994156318,0.01306376360808709,261806.0,2717.0,456.0,21.0,0.8681552628361048,0.5816321199476919,0.6582324950510028,0.7421860658779693,7.260846812996078,1.6584520860005796,0.8681552628361048,0.0,0.5816321199476919,0.0,0.6582324950510028,0.0,0.7421860658779693,0.0,0.0440251572327044,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",3.16236193000168,0.9103886300013073,0.020964360587002098,0.0035842293906810036,0.006121824303642486,261743.0,2780.0,467.0,10.0,0.8755807841480671,0.5578280665033343,0.6703486349353479,0.756700050257457,3.16236193000168,0.9103886300013073,0.8755807841480671,0.0,0.5578280665033343,0.0,0.6703486349353479,0.0,0.756700050257457,0.0,0.020964360587002098,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",4.493128972002069,1.1697888219978267,0.016771488469601678,0.0025220680958385876,0.0043847629487530826,261359.0,3164.0,469.0,8.0,0.8757341910902621,0.55132408617333,0.6673860396731732,0.7571319691328364,4.493128972002069,1.1697888219978267,0.8757341910902621,0.0,0.55132408617333,0.0,0.6673860396731732,0.0,0.7571319691328364,0.0,0.016771488469601678,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",5.916529728001478,1.4367590670017307,0.018867924528301886,0.0031023784901758012,0.005328596802841918,261631.0,2892.0,468.0,9.0,0.873440647736552,0.553052633135652,0.6646914355521782,0.7521921170794087,5.916529728001478,1.4367590670017307,0.873440647736552,0.0,0.553052633135652,0.0,0.6646914355521782,0.0,0.7521921170794087,0.0,0.018867924528301886,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",7.840552556996954,1.8114831620064251,0.023060796645702306,0.0041572184429327285,0.007044508485430675,261888.0,2635.0,466.0,11.0,0.8808457731729303,0.5680256205417042,0.6802072754951459,0.7668215399478362,7.840552556996954,1.8114831620064251,0.8808457731729303,0.0,0.5680256205417042,0.0,0.6802072754951459,0.0,0.7668215399478362,0.0,0.023060796645702306,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",3.1136741320015062,0.9089919049993114,0.008385744234800839,0.0016913319238900633,0.0028149190710767065,262162.0,2361.0,473.0,4.0,0.8381900006539202,0.5122225691813165,0.5871626976279704,0.6835211852471806,3.1136741320015062,0.9089919049993114,0.8381900006539202,0.0,0.5122225691813165,0.0,0.5871626976279704,0.0,0.6835211852471806,0.0,0.008385744234800839,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",4.5795910500009995,1.1633221909978602,0.018867924528301886,0.003714403631861329,0.0062068965517241385,262109.0,2414.0,468.0,9.0,0.8413376861864666,0.5194090552028896,0.5911099229962111,0.6892656261038835,4.5795910500009995,1.1633221909978602,0.8413376861864666,0.0,0.5194090552028896,0.0,0.5911099229962111,0.0,0.6892656261038835,0.0,0.018867924528301886,0.0
