,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",2.586406300001272,0.9163384140006201,0.42557651991614254,0.07657487740475293,0.12979539641943735,262075.0,2448.0,274.0,203.0,0.8194990015293618,0.787181363237015,0.8067381880980429,0.8108044044985979,2.6127232212000306,0.9314375137981188,0.8194990015293617,1.1102230246251565e-16,0.787181363237015,0.0,0.8067381880980429,0.0,0.8108044044985979,0.0,0.42557651991614254,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",2.7527370299990253,0.9570697879958061,0.42557651991614254,0.07657487740475293,0.12979539641943735,262075.0,2448.0,274.0,203.0,0.8194990015293618,0.787181363237015,0.8067381880980429,0.8108044044985979,2.665335862199754,0.9427535489993716,0.8194990015293617,1.1102230246251565e-16,0.787181363237015,0.0,0.8067381880980429,0.0,0.8108044044985979,0.0,0.42557651991614254,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",2.600743510994562,0.9147811859988906,0.3836477987421384,0.06903055450773293,0.1170076726342711,262055.0,2468.0,294.0,183.0,0.818785458935058,0.7931127415556491,0.8155106028749335,0.820063566516981,2.5930216675996234,0.9098339779993694,0.818785458935058,0.0,0.7931127415556491,0.0,0.8155106028749335,0.0,0.8200635665169809,1.1102230246251565e-16,0.3836477987421384,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': False}",2.6969977499998095,0.9593479519985522,0.3836477987421384,0.06903055450773293,0.1170076726342711,262055.0,2468.0,294.0,183.0,0.818785458935058,0.7931127415556491,0.8155106028749335,0.820063566516981,2.6802869761984764,0.9438038789987331,0.818785458935058,0.0,0.7931127415556491,0.0,0.8155106028749335,0.0,0.8200635665169809,1.1102230246251565e-16,0.3836477987421384,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': True}",2.871026369997253,0.9769227310052884,0.42557651991614254,0.07657487740475293,0.12979539641943735,262075.0,2448.0,274.0,203.0,0.8194990015293617,0.7871813632370153,0.8067381880980429,0.810804404498598,2.821178513200812,0.9522195290029231,0.8194990015293617,0.0,0.787181363237015,9.930136612989092e-17,0.8067381880980429,9.930136612989092e-17,0.810804404498598,0.0,0.42557651991614254,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': False}",2.775977365000017,0.9291418960051487,0.42557651991614254,0.07657487740475293,0.12979539641943735,262075.0,2448.0,274.0,203.0,0.8194990015293617,0.7871813632370153,0.8067381880980429,0.810804404498598,2.8266076247979983,0.9597989876023348,0.8194990015293617,0.0,0.787181363237015,9.930136612989092e-17,0.8067381880980429,9.930136612989092e-17,0.810804404498598,0.0,0.42557651991614254,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': True}",3.0915830869989804,1.0219785169970237,0.3836477987421384,0.06903055450773293,0.1170076726342711,262055.0,2468.0,294.0,183.0,0.8187854589350583,0.7931127415556491,0.8155106028749335,0.820063566516981,2.874670657399929,0.9621773825991113,0.8187854589350583,1.1102230246251565e-16,0.7931127415556491,0.0,0.8155106028749335,0.0,0.8200635665169809,1.1102230246251565e-16,0.3836477987421384,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': False}",2.7952927159985848,0.9428723930022898,0.3836477987421384,0.06903055450773293,0.1170076726342711,262055.0,2468.0,294.0,183.0,0.8187854589350583,0.7931127415556491,0.8155106028749335,0.820063566516981,2.810974656400049,0.9496674086009989,0.8187854589350583,1.1102230246251565e-16,0.7931127415556491,0.0,0.8155106028749335,0.0,0.8200635665169809,1.1102230246251565e-16,0.3836477987421384,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}",4.208047260000058,1.3755079059956188,0.42557651991614254,0.07660377358490567,0.12983690438119605,262076.0,2447.0,274.0,203.0,0.8194990015293617,0.7871813632370153,0.8067381880980429,0.810804404498598,4.147057869398668,1.3518589048013383,0.8194990015293617,0.0,0.7871813632370153,0.0,0.8067381880980429,0.0,0.810804404498598,0.0,0.42557651991614254,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': False}",4.0744909389954955,1.3108268169994517,0.42557651991614254,0.07660377358490567,0.12983690438119605,262076.0,2447.0,274.0,203.0,0.8194990015293617,0.7871813632370153,0.8067381880980429,0.810804404498598,4.064220987800399,1.321710161199917,0.8194990015293617,0.0,0.7871813632370153,0.0,0.8067381880980429,0.0,0.810804404498598,0.0,0.42557651991614254,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': False, 'whiten': True}",4.337858072003655,1.459055267995609,0.3836477987421384,0.06905660377358491,0.11704509114166935,262056.0,2467.0,294.0,183.0,0.818785458935058,0.7931127415556491,0.8155106028749335,0.820063566516981,4.087153251799373,1.3370657513991318,0.818785458935058,0.0,0.7931127415556491,0.0,0.8155106028749335,0.0,0.8200635665169809,1.1102230246251565e-16,0.3836477987421384,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': False, 'whiten': False}",3.974206579003294,1.292450980000467,0.3836477987421384,0.06905660377358491,0.11704509114166935,262056.0,2467.0,294.0,183.0,0.818785458935058,0.7931127415556491,0.8155106028749335,0.820063566516981,4.050293062399123,1.3193393194008423,0.818785458935058,0.0,0.7931127415556491,0.0,0.8155106028749335,0.0,0.8200635665169809,1.1102230246251565e-16,0.3836477987421384,0.0
