,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
auto_encoder_dataset1,1407.5332393969877,18.14698981701804,0.0614525139664804,0.0575916230366492,0.0594594594594594,18721.0,180.0,168.0,11.0,0.6058161328108027,0.5946879686214095,0.6164446614594238,0.6185261253891247,1407.5332393969877,18.14698981701804,0.6058161328108027,0.0,0.5946879686214095,0.0,0.6164446614594238,0.0,0.6185261253891247,0.0,0.0614525139664804,0.0
auto_encoder_dataset2,1464.947448935991,17.7507160400055,0.0807692307692307,0.0317220543806646,0.0455531453362255,65349.0,641.0,239.0,21.0,0.8009035168498724,0.6154257208643439,0.6788450043583397,0.7165389335236816,1464.947448935991,17.7507160400055,0.8009035168498724,0.0,0.6154257208643439,0.0,0.6788450043583397,0.0,0.7165389335236816,0.0,0.0807692307692307,0.0
auto_encoder_dataset3,1246.835301522996,20.055531437996592,0.0280701754385964,0.0060377358490566,0.0099378881987577,130898.0,1317.0,277.0,8.0,0.9125077110580786,0.649468713851278,0.7932403281057885,0.8449942130070038,1246.835301522996,20.055531437996592,0.9125077110580786,0.0,0.649468713851278,0.0,0.7932403281057885,0.0,0.8449942130070038,0.0,0.0280701754385964,0.0
auto_encoder_dataset4,1228.3223238169812,24.468610452990102,0.0293501048218029,0.005285013212533,0.0089571337172104,261888.0,2635.0,463.0,14.0,0.9123190343543977,0.6788834288642126,0.8058009632057586,0.8530915051155115,1228.3223238169812,24.468610452990102,0.9123190343543977,0.0,0.6788834288642126,0.0,0.8058009632057586,0.0,0.8530915051155115,0.0,0.0293501048218029,0.0
auto_encoder_dataset5,995.8466115629926,37.48761103398647,0.0244821092278719,0.0024710131153773,0.004488950276243,523956.0,5248.0,518.0,13.0,0.9297649373722374,0.6806682818738654,0.816187916630007,0.8643204123635679,995.8466115629926,37.48761103398647,0.9297649373722374,0.0,0.6806682818738654,0.0,0.816187916630007,0.0,0.8643204123635679,0.0,0.0244821092278719,0.0
auto_encoder_dataset6,1092.6905604210117,153.42905529199197,0.1555555555555555,0.0055062614058271,0.0106360348861944,3145413.0,31607.0,950.0,175.0,0.9373612454438436,0.8437029205455361,0.9057229870899284,0.925881219255232,1092.6905604210117,153.42905529199197,0.9373612454438436,0.0,0.8437029205455361,0.0,0.9057229870899284,0.0,0.925881219255232,0.0,0.1555555555555555,0.0
cblof_dataset1,8.862498298000446,1.6009321790002105,0.0614525139664804,0.0575916230366492,0.0594594594594594,18721.0,180.0,168.0,11.0,0.7569694961603817,0.6145578236223996,0.6652553796348323,0.6894027199938401,9.093880551600796,1.5974021146018458,0.7509242365172958,0.0042998789229876,0.6136923598923442,0.0009297002794522,0.6610135381156039,0.0030045380416847,0.6840625820771656,0.003714701271699,0.0614525139664804,6.938893903907228e-18
cblof_dataset2,9.538045110005442,1.6190676479973265,0.0884615384615384,0.0347432024169184,0.0498915401301518,65351.0,639.0,237.0,23.0,0.8853868010304591,0.6640223675161185,0.746493576467815,0.7979635837689196,9.85009196240244,1.664146554402396,0.8847385443015842,0.0003909221897869,0.663675179591068,0.0003038733281772,0.7453117734751314,0.0006294265811967,0.7968318249234252,0.0007591536450859,0.0884615384615384,0.0
cblof_dataset3,11.78518943900417,1.6993880799655017,0.0350877192982456,0.0075414781297134,0.0124146492861576,130899.0,1316.0,275.0,10.0,0.9061485976788206,0.6056720060839935,0.7469622585164057,0.8159776425074913,10.399127660596786,1.6583244127876242,0.9054768210470586,0.0003908708460805,0.6051165019174503,0.0004070269466076,0.744996029932049,0.0010801519470395,0.814660433425605,0.0007664134236873,0.0350877192982456,0.0
cblof_dataset4,10.450684635008656,1.5518288639832465,0.0293501048218029,0.0052790346907993,0.0089485458612975,261885.0,2638.0,463.0,14.0,0.9105734335093782,0.6625590116137627,0.7797080171484989,0.8328094965387222,11.537183731800544,1.6361840887875587,0.9101365187450936,0.0006292512346719,0.6600974878596112,0.0020217871082101,0.7782492208930071,0.0014851128850382,0.8319629475397752,0.0010691024752661,0.0293501048218029,0.0
cblof_dataset5,11.190857954999956,1.6046044440336118,0.0376647834274952,0.0037750094375235,0.0068622405215302,523926.0,5278.0,511.0,20.0,0.9166528894456858,0.6959748130602947,0.8015264818427927,0.8453315415798802,12.111898076799845,1.6668033444111643,0.9166100442990588,0.0003419503453084,0.6951865301785365,0.0006820920561245,0.8007288104625264,0.0008753580881284,0.8450771990359576,0.0005937273780715,0.0376647834274952,0.0
cblof_dataset6,43.87752890600677,4.386957056976826,0.232,0.0082134877427069,0.0158652969424351,3145504.0,31516.0,864.0,261.0,0.971769715155852,0.8525147958543371,0.9215825420995885,0.944646500305592,44.25177524659921,4.460214208402613,0.9716202834382186,0.0001684865716241,0.8520806562595474,0.0004982634466571,0.9211674539950512,0.0004680182545114,0.9443534969376832,0.000330365826714,0.2312888888888888,0.0010366136701947
copod_dataset1,2.1652332679996107,0.9374058249959488,0.2960893854748603,0.2834224598930481,0.2896174863387978,18767.0,134.0,126.0,53.0,0.875461793130274,0.724078535413832,0.7694933657406011,0.8014743545954017,2.1652332679996107,0.9374058249959488,0.875461793130274,0.0,0.724078535413832,0.0,0.7694933657406011,0.0,0.8014743545954017,0.0,0.2960893854748603,0.0
copod_dataset2,1.9311313920004525,0.8821021040002961,0.3807692307692307,0.1488721804511278,0.214054054054054,65424.0,566.0,161.0,99.0,0.9645108524601628,0.8452351080061817,0.9044572442341045,0.9305033190960648,1.9311313920004525,0.8821021040002961,0.9645108524601628,0.0,0.8452351080061817,0.0,0.9044572442341045,0.0,0.9305033190960648,0.0,0.3807692307692307,0.0
