,"{'hidden_activation': 'sigmoid', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,1217.9349500589087
best_classifier_inference_time,146.47517368178524
best_classifier_recall,0.1986706056129985
best_classifier_precision,0.00849464742476395
best_classifier_f1,0.01629266224523788
best_classifier_TN,3145393
best_classifier_FP,31398
best_classifier_FN,1085
best_classifier_TP,269
best_classifier_auc,0.9713798507223114
best_classifier_p_auc_10,0.8579627921644626
best_classifier_p_auc_20,0.92077731539287
best_classifier_p_auc_30,0.9438820602398263
training_time_avg,1217.9349500589087
inference_time_avg,146.47517368178524
auc_avg,0.9713798507223114
auc_std,0.0
p_auc_10_avg,0.8579627921644626
p_auc_10_std,0.0
p_auc_20_avg,0.92077731539287
p_auc_20_std,0.0
p_auc_30_avg,0.9438820602398263
p_auc_30_std,0.0
recall_avg,0.1986706056129985
recall_std,0.0
