,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 3, 'use_weights': True}",6.7070605129956675,1.3227194439932646,0.03910614525139665,0.03664921465968586,0.03783783783783783,18717.0,184.0,172.0,7.0,0.6202437044062874,0.5338184922783022,0.5568276942115754,0.5715827461940869,7.3702934112043295,1.3807682707920321,0.6104036054963247,0.006450380447655682,0.5303365385131438,0.0023188454966763046,0.5520990140038702,0.0025503367741149642,0.564649201060192,0.004336397576022511,0.04022346368715084,0.0022346368715083806
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 3, 'use_weights': False}",6.65632257800462,1.3049228199997742,0.1564245810055866,0.14814814814814814,0.15217391304347824,18740.0,161.0,151.0,28.0,0.835078188940374,0.6878185801096324,0.7446784941800872,0.7757506149229437,6.677407606200722,1.3095881325723895,0.8310372866086422,0.0025378323727257087,0.6820308594740565,0.0030131726183890224,0.7384206268534166,0.0035120151222736993,0.770323138599925,0.0030417743114734236,0.1564245810055866,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 5, 'use_weights': False}",7.701569740005652,1.3062684910255484,0.1564245810055866,0.14659685863874344,0.15135135135135133,18738.0,163.0,151.0,28.0,0.8462293532398599,0.7174709100721207,0.7640742900600275,0.7895975483906497,8.115149000404926,1.349138302612846,0.8422822356654593,0.0022290722779122153,0.7120606494779955,0.0027879619011393336,0.7590025829971456,0.002708445739189782,0.7850920804993049,0.0023617082774239437,0.1564245810055866,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 6, 'use_weights': False}",10.892815155999415,1.4623174850239593,0.1564245810055866,0.14736842105263157,0.15176151761517617,18739.0,162.0,151.0,28.0,0.9104809269350828,0.7661096481284949,0.827876299885407,0.8561888814800961,9.824160805613792,1.3312143533927157,0.902625352505661,0.004721029515554721,0.7595349301513025,0.004352225780933101,0.821117078037805,0.004474936395212029,0.849357905365145,0.004659526421275011,0.1564245810055866,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 3, 'use_weights': True}",6.676068848995783,1.303153086988459,0.061452513966480445,0.058823529411764705,0.06010928961748633,18725.0,176.0,168.0,11.0,0.6042544821163137,0.5358773793738342,0.5514903342782747,0.560179839225352,6.60191426139063,1.3040850491895981,0.6078767668879805,0.005993031142509608,0.5337402125664419,0.0018672605442672972,0.5503298722925305,0.00299334667283263,0.5602165827884724,0.004271208463576359,0.053631284916201116,0.005697228506807579
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 3, 'use_weights': False}",6.511861516009958,1.289148726995336,0.1564245810055866,0.14814814814814814,0.15217391304347824,18740.0,161.0,151.0,28.0,0.8461618152094463,0.6892334330098109,0.7440703563351149,0.7784350973263094,6.637148196811177,1.2927817552073975,0.843762515595078,0.001520941410951301,0.6854073720852026,0.0023323397926825035,0.7397263949493311,0.003090673450823519,0.7742299414150544,0.0029573426211952805,0.1564245810055866,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 5, 'use_weights': False}",7.676948634034488,1.2793894300084503,0.16201117318435754,0.15263157894736842,0.15718157181571815,18740.0,161.0,150.0,29.0,0.8136513423811633,0.6916813852074151,0.7352569964095648,0.7577788977416728,8.052954085611418,1.321629467996536,0.7954035419485062,0.013175317419289082,0.6826479811293625,0.006010297231517313,0.7181183632144371,0.011108977463227669,0.7380169228912972,0.0135691620715945,0.16089385474860335,0.0022346368715083775
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 6, 'use_weights': False}",11.260589363970212,1.5366403020489088,0.1564245810055866,0.14659685863874344,0.15135135135135133,18738.0,163.0,151.0,28.0,0.8508946498352634,0.7146505381006819,0.7720119380570676,0.797517351032047,9.851856005782611,1.3517740556097124,0.8438375315780933,0.005495968462513034,0.708317842084891,0.004764503901358852,0.7619516451347937,0.00761224856096225,0.7869685870179927,0.008191067241002539,0.1564245810055866,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 3, 'use_weights': True}",6.606577027996536,1.2935887679668667,0.061452513966480445,0.058823529411764705,0.06010928961748633,18725.0,176.0,168.0,11.0,0.6005282153792223,0.536922923776484,0.5504477066971617,0.5580711412062144,6.537678597804188,1.2853738509998949,0.6051155993933696,0.006123260167014755,0.5346263662839326,0.001878821051345669,0.5492402817240645,0.002946738107335775,0.5580821526841211,0.0041915521404298816,0.053631284916201116,0.005697228506807579
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 3, 'use_weights': False}",6.641963885002042,1.2841991119639715,0.24581005586592178,0.23036649214659685,0.23783783783783782,18754.0,147.0,135.0,44.0,0.8509429757344872,0.705852315398604,0.7578254212358286,0.7894612378851937,6.8049887231878525,1.3142394913942552,0.8489752988151436,0.001657486087812546,0.7025637896813931,0.002451546958767319,0.7547313485592593,0.002716440713285234,0.7862380508005724,0.002765340953945201,0.2458100558659218,2.7755575615628914e-17
