,"{'hidden_activation': 'tanh', 'hidden_neurons': [64, 32], 'use_ae': False}"
best_classifier_training_time,987.437599158191
best_classifier_inference_time,31.475710817074287
best_classifier_recall,0.4686192468619247
best_classifier_precision,0.08520349942944085
best_classifier_f1,0.14419053749597682
best_classifier_TN,262117
best_classifier_FP,2405
best_classifier_FN,254
best_classifier_TP,224
best_classifier_auc,0.9493030951954103
best_classifier_p_auc_10,0.8678903100648983
best_classifier_p_auc_20,0.914438690638076
best_classifier_p_auc_30,0.9324766549173054
training_time_avg,987.437599158191
inference_time_avg,31.475710817074287
auc_avg,0.9493030951954103
auc_std,0.0
p_auc_10_avg,0.8678903100648983
p_auc_10_std,0.0
p_auc_20_avg,0.914438690638076
p_auc_20_std,0.0
p_auc_30_avg,0.9324766549173054
p_auc_30_std,0.0
recall_avg,0.4686192468619247
recall_std,0.0
