,{}
best_classifier_training_time,3.4247334739957296
best_classifier_inference_time,2.564433821964485
best_classifier_recall,0.4113737075332349
best_classifier_precision,0.017582625714195523
best_classifier_f1,0.03372385190567009
best_classifier_TN,3145669
best_classifier_FP,31122
best_classifier_FN,797
best_classifier_TP,557
best_classifier_auc,0.9863969003377858
best_classifier_p_auc_10,0.9284047386199252
best_classifier_p_auc_20,0.962213612049405
best_classifier_p_auc_30,0.9733272555642858
training_time_avg,3.4247334739957296
inference_time_avg,2.564433821964485
auc_avg,0.9863969003377858
auc_std,0.0
p_auc_10_avg,0.9284047386199252
p_auc_10_std,0.0
p_auc_20_avg,0.962213612049405
p_auc_20_std,0.0
p_auc_30_avg,0.9733272555642858
p_auc_30_std,0.0
recall_avg,0.4113737075332349
recall_std,0.0
