,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",3.5499157889989874,1.1027169769968168,0.20384615384615384,0.17320261437908496,0.1872791519434629,65737.0,253.0,207.0,53.0,0.8904653385711122,0.750929321274908,0.8191653433320798,0.8486037122951807,3.5501069802026906,1.0980291492003744,0.8940372084348445,0.005492090682547984,0.7351023925229746,0.010595522695887732,0.8092451875707308,0.00728316538369655,0.8416261250790547,0.006332395581257626,0.21538461538461537,0.02120622884936956
"{'max_samples': 128, 'n_estimators': 10}",32.62603535899507,2.40071791300943,0.36153846153846153,0.2025862068965517,0.2596685082872929,65620.0,370.0,166.0,94.0,0.9407359506685162,0.8106123305395923,0.8729144081659614,0.8958726892437883,32.63043531919684,2.3916854453989798,0.9402150442374719,0.0029279262051214194,0.8071261563983747,0.002880373222980944,0.867781702226315,0.003938303920121202,0.8943030469674434,0.003064831200960637,0.3576923076923077,0.004865042554105182
"{'max_samples': 128, 'n_estimators': 50}",43.272443593008575,7.429590026004007,0.36153846153846153,0.20302375809935205,0.26002766251728904,65621.0,369.0,166.0,94.0,0.9443725739331135,0.8118761706625897,0.8716308674067426,0.8986787728018574,43.52606968480795,7.438204080602736,0.9435569491881054,0.0008080544907056258,0.8103062480942702,0.000868163278009132,0.869497272313987,0.0012150393199474574,0.896602677813289,0.0010988165060597758,0.36,0.0018842228790639764
"{'max_samples': 128, 'n_estimators': 100}",82.01166273498893,13.583894988989414,0.36153846153846153,0.2012847965738758,0.2585969738651994,65617.0,373.0,166.0,94.0,0.9429663585391725,0.8109200081229335,0.8678539094890056,0.8944944466881837,82.21716226660355,13.68521921339634,0.9439004044901909,0.0007733455709546595,0.8106111341860778,0.00043894482834825,0.8688346330640616,0.0011891734924166562,0.8958383474620337,0.001073757136206606,0.36153846153846153,0.0
"{'max_samples': 256, 'n_estimators': 1}",3.498772127000848,1.079900892022124,0.3346153846153846,0.17611336032388664,0.23076923076923075,65583.0,407.0,173.0,87.0,0.9104314464895613,0.7883621490926425,0.8422242977762754,0.86576197499644,3.5129123586018975,1.0781908424076392,0.9103143366710574,0.007574692654273371,0.7836962783589465,0.0026399226152432893,0.8413261754241447,0.0027244304122045443,0.8667065625602124,0.0038492109934051854,0.3123076923076923,0.017608497141937834
"{'max_samples': 256, 'n_estimators': 10}",32.492829261014776,2.348412304992962,0.38846153846153847,0.16974789915966387,0.2362573099415205,65496.0,494.0,159.0,101.0,0.9472231806683996,0.8093544721841673,0.8759898547176922,0.9020305535575228,32.66514295619963,2.3758404523985517,0.9429665100772844,0.002797481682436659,0.8064034054969683,0.001979856597267171,0.8715352008786621,0.002876000614102345,0.900167960454724,0.0022149507230401267,0.3792307692307692,0.005217176910096361
"{'max_samples': 256, 'n_estimators': 50}",42.76302696300809,7.379512328996498,0.3923076923076923,0.16531604538087522,0.23261117445838084,65475.0,515.0,158.0,102.0,0.9483913063750917,0.8103972936642958,0.8739706417574278,0.9033033708430158,42.73395754280682,7.397700310391883,0.9469827479688064,0.0007588263228123439,0.8091420427460176,0.0012469450280521738,0.8731279376699137,0.0004899890167632691,0.9018499077857447,0.0008539397616061643,0.38307692307692304,0.005217176910096364
"{'max_samples': 256, 'n_estimators': 100}",81.79487449698172,13.594453467996573,0.3923076923076923,0.16478190630048464,0.23208191126279862,65473.0,517.0,158.0,102.0,0.9473705806241038,0.8113655731177525,0.8753937400512641,0.9025709366358128,82.22189020419974,13.67009150920676,0.9473085082821406,0.00044675533921439324,0.8099342741784579,0.0008832859236740946,0.8742353963239704,0.0006635868153470775,0.9027781987169773,0.0006067991854829067,0.3846153846153846,0.0042132504423474364
"{'max_samples': 512, 'n_estimators': 1}",3.486157839999578,1.068524857993907,0.3346153846153846,0.17611336032388664,0.23076923076923075,65583.0,407.0,173.0,87.0,0.9104314464895613,0.7883621490926425,0.8422242977762754,0.86576197499644,3.5078957325960802,1.0703774621997582,0.9103143366710574,0.007574692654273371,0.7836962783589465,0.0026399226152432893,0.8413261754241447,0.0027244304122045443,0.8667065625602124,0.0038492109934051854,0.3123076923076923,0.017608497141937834
"{'max_samples': 512, 'n_estimators': 10}",32.547350288992675,2.367564864016458,0.38846153846153847,0.16974789915966387,0.2362573099415205,65496.0,494.0,159.0,101.0,0.9472231806683996,0.8093544721841673,0.8759898547176922,0.9020305535575228,32.52573091340091,2.3574588382060027,0.9429665100772844,0.002797481682436659,0.8064034054969683,0.001979856597267171,0.8715352008786621,0.002876000614102345,0.900167960454724,0.0022149507230401267,0.3792307692307692,0.005217176910096361
