,"{'max_samples': 4096, 'n_estimators': 100}"
best_classifier_training_time,190.89449279100154
best_classifier_inference_time,54.204920228003175
best_classifier_recall,0.2843426883308715
best_classifier_precision,0.02888655462184874
best_classifier_f1,0.05244517095763521
best_classifier_TN,3163848
best_classifier_FP,12943
best_classifier_FN,969
best_classifier_TP,385
best_classifier_auc,0.9030370503286695
best_classifier_p_auc_10,0.6758278978888321
best_classifier_p_auc_20,0.7307863022204379
best_classifier_p_auc_30,0.8098765692719012
training_time_avg,195.93934507319426
inference_time_avg,55.96432213219741
auc_avg,0.9029859971888514
auc_std,2.9857483512495838e-05
p_auc_10_avg,0.6758043773415048
p_auc_10_std,1.892435907570242e-05
p_auc_20_avg,0.7306504499643343
p_auc_20_std,9.524393778742333e-05
p_auc_30_avg,0.8097764650761793
p_auc_30_std,5.8544085318656065e-05
recall_avg,0.2843426883308715
recall_std,0.0
