,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",4.636839977982163,1.267612867994103,0.0670391061452514,0.0631578947368421,0.065040650406504,18723.0,178.0,167.0,12.0,0.906741359491783,0.7106763493111424,0.8052204352312916,0.8465191231787328,4.636839977982163,1.267612867994103,0.906741359491783,0.0,0.7106763493111424,0.0,0.8052204352312916,0.0,0.8465191231787328,0.0,0.0670391061452514,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",6.126513909990536,1.3767316929861408,0.0502793296089385,0.0481283422459893,0.0491803278688524,18723.0,178.0,170.0,9.0,0.9159651036760492,0.7094634182432269,0.810646138126816,0.8537565619207943,6.126513909990536,1.3767316929861408,0.9159651036760492,0.0,0.7094634182432269,0.0,0.810646138126816,0.0,0.8537565619207943,0.0,0.0502793296089385,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",7.786811931009652,1.5049365230097465,0.0782122905027933,0.0744680851063829,0.0762942779291553,18727.0,174.0,165.0,14.0,0.917101427343119,0.7014161020776155,0.8059531235164992,0.8512368460000015,7.786811931009652,1.5049365230097465,0.917101427343119,0.0,0.7014161020776155,0.0,0.8059531235164992,0.0,0.8512368460000015,0.0,0.0782122905027933,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",9.617746771004022,1.6329809749913693,0.0558659217877094,0.053763440860215,0.0547945205479452,18725.0,176.0,169.0,10.0,0.9187876613190932,0.709296498269407,0.812316772509089,0.8559302276595817,9.617746771004022,1.6329809749913693,0.9187876613190932,0.0,0.709296498269407,0.0,0.812316772509089,0.0,0.8559302276595817,0.0,0.0558659217877094,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",4.488821747019756,1.240426940988982,0.0614525139664804,0.0569948186528497,0.0591397849462365,18719.0,182.0,168.0,11.0,0.8568749429178026,0.5517368954408554,0.6830461415291694,0.7519761966157104,4.488821747019756,1.240426940988982,0.8568749429178026,0.0,0.5517368954408554,0.0,0.6830461415291694,0.0,0.7519761966157104,0.0,0.0614525139664804,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",4.459562602000034,1.0497541739999576,0.061452513966480445,0.05945945945945946,0.06043956043956045,18727.0,174.0,168.0,11.0,0.854150071572578,0.5494654398619583,0.6794619296185085,0.7462346961248505,4.459562602000034,1.0497541739999576,0.854150071572578,0.0,0.5494654398619583,0.0,0.6794619296185085,0.0,0.7462346961248505,0.0,0.061452513966480445,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",5.807061914000002,1.2185498420003285,0.055865921787709494,0.053763440860215055,0.0547945205479452,18725.0,176.0,169.0,10.0,0.8567178467989189,0.5502140166791976,0.6779558298982207,0.7455264262748607,5.807061914000002,1.2185498420003285,0.8567178467989189,0.0,0.5502140166791976,0.0,0.6779558298982207,0.0,0.7455264262748607,0.0,0.055865921787709494,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",7.760665028999995,1.458773792000244,0.07262569832402235,0.06842105263157895,0.07046070460704607,18724.0,177.0,166.0,13.0,0.8617067939120598,0.5548002449659067,0.6856231123054817,0.753860202530404,7.760665028999995,1.458773792000244,0.8617067939120598,0.0,0.5548002449659067,0.0,0.6856231123054817,0.0,0.753860202530404,0.0,0.07262569832402235,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",3.3232982500000503,0.9037211920000914,0.05027932960893855,0.04712041884816754,0.04864864864864865,18719.0,182.0,170.0,9.0,0.78342947773447,0.5264794581637643,0.5550164992797422,0.6381497381218448,3.3232982500000503,0.9037211920000914,0.78342947773447,0.0,0.5264794581637643,0.0,0.5550164992797422,0.0,0.6381497381218448,0.0,0.05027932960893855,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",4.5859957289999045,1.0788591130001066,0.05027932960893855,0.05172413793103448,0.0509915014164306,18736.0,165.0,170.0,9.0,0.7883888677227033,0.5284918316785207,0.5577277907681342,0.6398763958127661,4.5859957289999045,1.0788591130001066,0.7883888677227033,0.0,0.5284918316785207,0.0,0.5577277907681342,0.0,0.6398763958127661,0.0,0.05027932960893855,0.0
