,"{'n_bins': 6, 'n_random_cuts': 75}"
best_classifier_training_time,6.931755104999866
best_classifier_inference_time,1.6122868239993977
best_classifier_recall,0.11929824561403508
best_classifier_precision,0.02487198244330651
best_classifier_f1,0.041162227602905575
best_classifier_TN,130882
best_classifier_FP,1333
best_classifier_FN,251
best_classifier_TP,34
best_classifier_auc,0.9460287503541215
best_classifier_p_auc_10,0.7310786325568867
best_classifier_p_auc_20,0.8520955626427774
best_classifier_p_auc_30,0.8942476252800498
training_time_avg,6.931755104999866
inference_time_avg,1.6122868239993977
auc_avg,0.9460287503541215
auc_std,0.0
p_auc_10_avg,0.7310786325568867
p_auc_10_std,0.0
p_auc_20_avg,0.8520955626427774
p_auc_20_std,0.0
p_auc_30_avg,0.8942476252800498
p_auc_30_std,0.0
recall_avg,0.11929824561403508
recall_std,0.0
