,"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}"
best_classifier_training_time,3.6300631730020996
best_classifier_inference_time,1.1587201359993742
best_classifier_recall,0.2653846153846154
best_classifier_precision,0.1043872919818457
best_classifier_f1,0.14983713355048858
best_classifier_TN,65398
best_classifier_FP,592
best_classifier_FN,191
best_classifier_TP,69
best_classifier_auc,0.6749662244862276
best_classifier_p_auc_10,0.6575344503798576
best_classifier_p_auc_20,0.6701901706163716
best_classifier_p_auc_30,0.6730070966920578
training_time_avg,3.861074800599772
inference_time_avg,1.2041195294003046
auc_avg,0.6749662244862276
auc_std,0.0
p_auc_10_avg,0.6575344503798576
p_auc_10_std,0.0
p_auc_20_avg,0.6701901706163716
p_auc_20_std,0.0
p_auc_30_avg,0.6730070966920578
p_auc_30_std,0.0
recall_avg,0.2653846153846154
recall_std,0.0
