,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",2.421929848997479,0.8122577329997966,0.2653846153846154,0.1043872919818457,0.14983713355048858,65398.0,592.0,191.0,69.0,0.6749661370603938,0.6575339902438905,0.6701899277668334,0.6730069252688544,2.4001626325996313,0.8015919239989671,0.6749661370603938,0.0,0.6575339902438905,0.0,0.6701899277668334,0.0,0.6730069252688544,0.0,0.2653846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",2.4185926530001325,0.8098115389989289,0.2653846153846154,0.1043872919818457,0.14983713355048858,65398.0,592.0,191.0,69.0,0.6749661370603938,0.6575339902438905,0.6701899277668334,0.6730069252688544,2.5182055363997735,0.8436471289998735,0.6749661370603938,0.0,0.6575339902438905,0.0,0.6701899277668334,0.0,0.6730069252688544,0.0,0.2653846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",2.4863071200009017,0.8399116510022395,0.2653846153846154,0.1043872919818457,0.14983713355048858,65398.0,592.0,191.0,69.0,0.6749661370603938,0.6575339902438905,0.6701899277668334,0.6730069252688544,2.622144599000012,0.887628538999661,0.6749661370603938,0.0,0.6575339902438905,0.0,0.6701899277668334,0.0,0.6730069252688544,0.0,0.2653846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': False}",2.3862982420002936,0.7949554349993377,0.2653846153846154,0.1043872919818457,0.14983713355048858,65398.0,592.0,191.0,69.0,0.6749661370603938,0.6575339902438905,0.6701899277668334,0.6730069252688544,2.5368292305995963,0.850638543599689,0.6749661370603938,0.0,0.6575339902438905,0.0,0.6701899277668334,0.0,0.6730069252688544,0.0,0.2653846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}",3.6300631730020996,1.1587201359993742,0.2653846153846154,0.1043872919818457,0.14983713355048858,65398.0,592.0,191.0,69.0,0.6749662244862276,0.6575344503798576,0.6701901706163716,0.6730070966920578,3.861074800599772,1.2041195294003046,0.6749662244862276,0.0,0.6575344503798576,0.0,0.6701901706163716,0.0,0.6730070966920578,0.0,0.2653846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': False}",3.738708509999242,1.172370343001603,0.2653846153846154,0.1043872919818457,0.14983713355048858,65398.0,592.0,191.0,69.0,0.6749662244862276,0.6575344503798576,0.6701901706163716,0.6730070966920578,3.695710658399139,1.1723943835990212,0.6749662244862276,0.0,0.6575344503798576,0.0,0.6701901706163716,0.0,0.6730070966920578,0.0,0.2653846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': False, 'whiten': True}",3.703894958000319,1.1640586800031087,0.2653846153846154,0.1043872919818457,0.14983713355048858,65398.0,592.0,191.0,69.0,0.6749661370603938,0.6575339902438905,0.6701899277668334,0.6730069252688544,3.8100250214002243,1.1900078618008139,0.6749661370603938,0.0,0.6575339902438905,0.0,0.6701899277668334,0.0,0.6730069252688544,0.0,0.2653846153846154,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': False, 'whiten': False}",3.6744591940007467,1.161284750001414,0.2653846153846154,0.1043872919818457,0.14983713355048858,65398.0,592.0,191.0,69.0,0.6749661370603938,0.6575339902438905,0.6701899277668334,0.6730069252688544,3.7006749174014657,1.1580313012003898,0.6749661370603938,0.0,0.6575339902438905,0.0,0.6701899277668334,0.0,0.6730069252688544,0.0,0.2653846153846154,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",2.356773680001197,0.7955395969988786,0.11153846153846154,0.04948805460750853,0.06855791962174941,65433.0,557.0,231.0,29.0,0.57192741907282,0.5716078470767545,0.5839160113929986,0.5881049711401449,2.433440322199931,0.8227814766001756,0.57192741907282,0.0,0.5716078470767545,0.0,0.5839160113929986,0.0,0.5881049711401449,0.0,0.11153846153846154,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",2.3877216159996806,0.8068703780027136,0.11153846153846154,0.04948805460750853,0.06855791962174941,65433.0,557.0,231.0,29.0,0.57192741907282,0.5716078470767545,0.5839160113929986,0.5881049711401449,2.360458594599231,0.7943459076001546,0.57192741907282,0.0,0.5716078470767545,0.0,0.5839160113929986,0.0,0.5881049711401449,0.0,0.11153846153846154,0.0
