,"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,2.5008139640012814
best_classifier_inference_time,0.8301043820006271
best_classifier_recall,0.6701754385964912
best_classifier_precision,0.13642857142857143
best_classifier_f1,0.22670623145400592
best_classifier_TN,131006
best_classifier_FP,1209
best_classifier_FN,94
best_classifier_TP,191
best_classifier_auc,0.9003448131731211
best_classifier_p_auc_10,0.8615347445535998
best_classifier_p_auc_20,0.8809266008116765
best_classifier_p_auc_30,0.8915572059305839
training_time_avg,2.4807554572002117
inference_time_avg,0.8271288219991675
auc_avg,0.9003448131731211
auc_std,0.0
p_auc_10_avg,0.8615347445535997
p_auc_10_std,1.1102230246251565e-16
p_auc_20_avg,0.8809266008116765
p_auc_20_std,0.0
p_auc_30_avg,0.8915572059305837
p_auc_30_std,1.1102230246251565e-16
recall_avg,0.6701754385964912
recall_std,0.0
