,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
auto_encoder_dataset1,969.6489254200026,16.20652120299701,0.1564245810055866,0.1465968586387434,0.1513513513513513,18738.0,163.0,151.0,28.0,0.6624650228373126,0.6386423690713872,0.6611100749696768,0.6690832977677086,969.6489254200026,16.20652120299701,0.6624650228373126,0.0,0.6386423690713872,0.0,0.6611100749696768,0.0,0.6690832977677086,0.0,0.1564245810055866,0.0
auto_encoder_dataset2,1155.235750625994,19.763341045014386,0.1576923076923077,0.0625954198473282,0.0896174863387978,65376.0,614.0,219.0,41.0,0.8815958711692914,0.7078993995532387,0.778340541107627,0.814499523100648,1155.235750625994,19.763341045014386,0.8815958711692914,0.0,0.7078993995532387,0.0,0.778340541107627,0.0,0.814499523100648,0.0,0.1576923076923077,0.0
auto_encoder_dataset3,1210.570403214988,20.32677857703311,0.1824561403508772,0.039274924471299,0.0646364201367308,130943.0,1272.0,233.0,52.0,0.9752627531844396,0.8760466990288245,0.932178736874836,0.9514955944792935,1210.570403214988,20.32677857703311,0.9752627531844396,0.0,0.8760466990288245,0.0,0.932178736874836,0.0,0.9514955944792935,0.0,0.1824561403508772,0.0
auto_encoder_dataset4,1192.1606705790257,26.26465368890058,0.4518828451882845,0.083558994197292,0.1410381978452497,262153.0,2369.0,262.0,216.0,0.9569159547248708,0.8753023451069997,0.9189965817872668,0.9356623303906976,1192.1606705790257,26.26465368890058,0.9569159547248708,0.0,0.8753023451069997,0.0,0.9189965817872668,0.0,0.9356623303906976,0.0,0.4518828451882845,0.0
auto_encoder_dataset5,1218.6070250959892,36.42996882997977,0.5545286506469501,0.0587314017227877,0.1062134891131173,524386.0,4808.0,241.0,300.0,0.9654106579561228,0.8743637068565295,0.9191158114709798,0.9393092831638434,1218.6070250959892,36.42996882997977,0.9654106579561228,0.0,0.8743637068565295,0.0,0.9191158114709798,0.0,0.9393092831638434,0.0,0.5545286506469501,0.0
auto_encoder_dataset6,1217.9349500589087,146.47517368178524,0.1986706056129985,0.0084946474247639,0.0162926622452378,3145393.0,31398.0,1085.0,269.0,0.9713798507223114,0.8579627921644626,0.92077731539287,0.9438820602398263,1217.9349500589087,146.47517368178524,0.9713798507223114,0.0,0.8579627921644626,0.0,0.92077731539287,0.0,0.9438820602398263,0.0,0.1986706056129985,0.0
cblof_dataset1,10.86954331599918,1.369102128999657,0.1564245810055866,0.1473684210526315,0.1517615176151761,18739.0,162.0,151.0,28.0,0.9084221253996492,0.7734185028628643,0.8310428532004996,0.856883010274248,9.607671809207384,1.2783045516043785,0.9044761309959954,0.0029975724177037,0.77008623260079,0.0021596205937177,0.8285907120150469,0.0016775342205384,0.8536468876008435,0.0025163419878121,0.1564245810055866,0.0
cblof_dataset2,13.783833480002158,1.5933342750022348,0.3461538461538461,0.1359516616314199,0.1952277657266811,65418.0,572.0,170.0,90.0,0.9621094979425788,0.8551718975945932,0.9069496899944696,0.9313545495832474,12.489259976202538,1.4153306152001277,0.957985370743819,0.0023634418922573,0.8464756959249746,0.0056551518708811,0.899651510912687,0.0050082919454478,0.9254852476619588,0.0038465226219609,0.3438461538461538,0.0086345939694783
cblof_dataset3,16.332497685003545,1.4046549240056263,0.6771929824561403,0.1439224459358687,0.2373923739237392,131067.0,1148.0,92.0,193.0,0.9907850649958104,0.9547734322460664,0.9751557637049172,0.9819314999917848,16.858557439599828,1.442451354401237,0.9906822234651028,0.0001760446374228,0.9540401628353102,0.0005683417910106,0.974768760404796,0.0002999581674778,0.9817298499315744,0.0003451855635741,0.6596491228070175,0.0145518886690019
cblof_dataset4,7.115088527991247,1.3935541360133357,0.50418410041841,0.090943396226415,0.1540920716112531,262113.0,2409.0,237.0,241.0,0.9764692674200456,0.8937449010855447,0.936983656978263,0.9538613086667564,7.547050920800393,1.424830587206816,0.9762567810401768,0.0001329027587901,0.8927218901574602,0.0006157692961828,0.936412551923742,0.0003729057556819,0.9534446687062288,0.0002605936446867,0.50418410041841,0.0
