,"{'hidden_activation': 'relu', 'hidden_neurons': [4, 2, 2, 4]}"
best_classifier_training_time,169.844972515
best_classifier_inference_time,41.31910525000001
best_classifier_recall,0.06565656565656566
best_classifier_precision,0.002051767676767677
best_classifier_f1,0.003979185797367616
best_classifier_TN,848338
best_classifier_FP,6323
best_classifier_FN,185
best_classifier_TP,13
best_classifier_auc,0.8589711670073357
best_classifier_p_auc_10,0.7252991401523243
best_classifier_p_auc_20,0.794593640903289
best_classifier_p_auc_30,0.8169906076267575
training_time_avg,121.40530923100002
inference_time_avg,35.831420454000046
auc_avg,0.7175372433980233
auc_std,0.07422593966649253
p_auc_10_avg,0.6764446840941628
p_auc_10_std,0.024586042166270847
p_auc_20_avg,0.7005355029866697
p_auc_20_std,0.047212551793935124
p_auc_30_avg,0.7046627802079722
p_auc_30_std,0.05668848797543962
recall_avg,0.06565656565656566
recall_std,0.0
