,"{'hidden_activation': 'sigmoid', 'hidden_neurons': [4, 2, 2, 4]}"
best_classifier_training_time,485.90804867399856
best_classifier_inference_time,41.31886810799915
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,850367
best_classifier_FP,4294
best_classifier_FN,198
best_classifier_TP,0
best_classifier_auc,0.533746935210498
best_classifier_p_auc_10,0.5303587188664741
best_classifier_p_auc_20,0.5316798921572017
best_classifier_p_auc_30,0.5254212928022983
training_time_avg,192.4688099748004
inference_time_avg,36.14578273659863
auc_avg,0.5392683724478436
auc_std,0.007380630619911818
p_auc_10_avg,0.5299603411152549
p_auc_10_std,0.00019918887560961272
p_auc_20_avg,0.5314112022146749
p_auc_20_std,0.0001343449712634559
p_auc_30_avg,0.5250305615578335
p_auc_30_std,0.00019536562223243517
recall_avg,0.0
recall_std,0.0
