,"{'alpha': 0.4, 'beta': 2, 'n_clusters': 4, 'use_weights': False}"
best_classifier_training_time,3.1234053730004234
best_classifier_inference_time,0.345178286996088
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,850738
best_classifier_FP,3923
best_classifier_FN,198
best_classifier_TP,0
best_classifier_auc,0.6152965942347346
best_classifier_p_auc_10,0.5365842965806573
best_classifier_p_auc_20,0.5609375382269173
best_classifier_p_auc_30,0.5817501873305677
training_time_avg,3.080547150800703
inference_time_avg,0.35255070400016847
auc_avg,0.6152965942347346
auc_std,0.0
p_auc_10_avg,0.5365842965806573
p_auc_10_std,0.0
p_auc_20_avg,0.5609375382269173
p_auc_20_std,0.0
p_auc_30_avg,0.5817501873305677
p_auc_30_std,0.0
recall_avg,0.0
recall_std,0.0
