,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",2.3609703429974616,0.34144898100203136,0.05555555555555555,0.001462960500066498,0.0028508487754308667,847153.0,7508.0,187.0,11.0,0.8198441643333829,0.6031397813872393,0.6650021771359169,0.708429175725493,2.347532961200341,0.34361890700092773,0.8198441643333829,0.0,0.6031397813872393,0.0,0.6650021771359169,0.0,0.708429175725493,0.0,0.05555555555555556,6.938893903907228e-18
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",2.3593294439997408,0.34218604800116736,0.05555555555555555,0.001462960500066498,0.0028508487754308667,847153.0,7508.0,187.0,11.0,0.8197116822466523,0.6031397813872393,0.6650021771359169,0.708429175725493,2.371832642999652,0.3470021616012673,0.8197116822466523,0.0,0.6031397813872393,0.0,0.6650021771359169,0.0,0.708429175725493,0.0,0.05555555555555556,6.938893903907228e-18
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': True}",3.4502618289989186,0.3650250579958083,0.05555555555555555,0.001462960500066498,0.0028508487754308667,847153.0,7508.0,187.0,11.0,0.7601235159231838,0.6031397813872393,0.6530295001604588,0.6725964066386718,3.4260014721992773,0.355591459198331,0.6871762102994136,0.14589461124754063,0.5772486672150546,0.05178222834436943,0.6115381648065255,0.08298267070786665,0.6212756892462978,0.10264143478474792,0.04444444444444444,0.02222222222222222
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}",3.4357002079996164,0.33842650699807564,0.05555555555555555,0.001462960500066498,0.0028508487754308667,847153.0,7508.0,187.0,11.0,0.7906310457620276,0.6031397813872393,0.6649187237495361,0.6979660233991594,3.404463904000295,0.34502562480192867,0.7576728224655298,0.06591644659299557,0.6007603120798011,0.004758938614876529,0.6542752017139115,0.02128704407124906,0.6799599213990092,0.03601220400030028,0.06262626262626263,0.014141414141414144
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",2.451100194004539,0.3386993149979389,0.05555555555555555,0.001462960500066498,0.0028508487754308667,847153.0,7508.0,187.0,11.0,0.8198441643333829,0.6031397813872393,0.6650021771359169,0.708429175725493,2.393357436801307,0.35006339000101433,0.8198441643333829,0.0,0.6031397813872393,0.0,0.6650021771359169,0.0,0.708429175725493,0.0,0.05555555555555556,6.938893903907228e-18
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",2.3366787799968733,0.33883313900150824,0.05555555555555555,0.001462960500066498,0.0028508487754308667,847153.0,7508.0,187.0,11.0,0.8197116822466523,0.6031397813872393,0.6650021771359169,0.708429175725493,2.354290318599669,0.3423835616020369,0.8197116822466523,0.0,0.6031397813872393,0.0,0.6650021771359169,0.0,0.708429175725493,0.0,0.05555555555555556,6.938893903907228e-18
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': True}",3.465143323999655,0.36337016800098354,0.05555555555555555,0.001462960500066498,0.0028508487754308667,847153.0,7508.0,187.0,11.0,0.7601235159231838,0.6031397813872393,0.6530295001604588,0.6725964066386718,3.4894980570010374,0.35989422260026915,0.6871762102994136,0.14589461124754063,0.5772486672150546,0.05178222834436943,0.6115381648065255,0.08298267070786665,0.6212756892462978,0.10264143478474792,0.04444444444444444,0.02222222222222222
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': False}",3.492728894998436,0.3611864490012522,0.05555555555555555,0.001462960500066498,0.0028508487754308667,847153.0,7508.0,187.0,11.0,0.7906310457620276,0.6031397813872393,0.6649187237495361,0.6979660233991594,3.3909485285999836,0.3442715894023422,0.7576728224655298,0.06591644659299557,0.6007603120798011,0.004758938614876529,0.6542752017139115,0.02128704407124906,0.6799599213990092,0.03601220400030028,0.06262626262626263,0.014141414141414144
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': True}",2.4927848689985694,0.3367849819987896,0.05555555555555555,0.001462960500066498,0.0028508487754308667,847153.0,7508.0,187.0,11.0,0.8198441643333829,0.6031397813872393,0.6650021771359169,0.708429175725493,2.403364245397097,0.3463885546007077,0.8198441643333829,0.0,0.6031397813872393,0.0,0.6650021771359169,0.0,0.708429175725493,0.0,0.05555555555555556,6.938893903907228e-18
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': False}",2.4464159210037906,0.34566395200090483,0.05555555555555555,0.001462960500066498,0.0028508487754308667,847153.0,7508.0,187.0,11.0,0.8197116822466523,0.6031397813872393,0.6650021771359169,0.708429175725493,2.3612653557996963,0.3421911365992855,0.8197116822466523,0.0,0.6031397813872393,0.0,0.6650021771359169,0.0,0.708429175725493,0.0,0.05555555555555556,6.938893903907228e-18
